CampaignID,CampaignName,PlatformID,CampaignTypeID,IndustryID,CampaignObjective,StartDate,EndDate,CampaignDuration,Status,Budget,Cost,Revenue,Profit,ROI,ROAS,Impressions,Reach,Clicks,CTR,CPC,CPM,Conversions,ConversionRate,TargetAudience,DeviceTarget,Region,IsViral,IsLossMaking
CAM000029,Sharable high-level complexity,1,5,3,Lead Generation,2024-10-12,2024-11-11,30,Completed,23909.3,176664.79,627678.95,451014.15,255.29,3.55,2267957,764288,67190,0.02963,2.63,77.9,2920,0.04346,B2C,Desktop,Latin America,False,False
CAM000030,Multi-layered heuristic database,3,4,10,Brand Awareness,2025-12-22,2026-02-05,45,Active,12087.31,31657.57,28002.8,-3654.77,-11.54,0.88,785506,591044,17653,0.02247,1.79,40.3,835,0.0473,B2B,Mobile,North America,False,True
CAM000031,Synchronized encompassing standardization,1,6,8,Conversion,2024-09-10,2024-10-10,30,Active,38096.39,121798.39,403908.35,282109.97,231.62,3.32,2276238,1048356,47239,0.02075,2.58,53.51,2278,0.04822,B2B,Desktop,North America,False,False
CAM000032,Synergized secondary archive,7,4,3,Conversion,2024-12-08,2025-01-07,30,Completed,11678.75,15490.92,38533.76,23042.84,148.75,2.49,430820,277996,2814,0.00653,5.5,35.96,137,0.04869,B2C,All,North America,False,False
CAM000033,Robust scalable concept,3,5,1,Conversion,2025-09-15,2025-10-30,45,Paused,57248.34,105603.56,312306.23,206702.66,195.73,2.96,4247922,4015886,71609,0.01686,1.47,24.86,3273,0.04571,B2C,All,Europe,False,False
CAM000034,Public-key upward-trending encryption,3,5,8,Lead Generation,2025-05-23,2025-08-21,90,Completed,964.29,1650.07,5301.82,3651.75,221.31,3.21,44752,36568,776,0.01736,2.13,36.87,39,0.05026,B2B,Desktop,Europe,False,False
CAM000035,Diverse maximized implementation,1,6,1,Conversion,2026-06-16,2026-09-14,90,Draft,15684.9,37890.55,121630.98,83740.43,221.01,3.21,1041533,361680,16619,0.01596,2.28,36.38,634,0.03815,B2B,Mobile,North America,False,False
CAM000036,Future-proofed scalable solution,1,2,3,Lead Generation,2026-03-24,2026-05-08,45,Completed,31490.72,198171.74,659235.39,461063.66,232.66,3.33,2719055,210398,94900,0.0349,2.09,72.88,6388,0.06731,B2B,All,North America,False,False
CAM000037,Realigned directional software,7,1,5,Brand Awareness,2025-10-31,2025-12-30,60,Active,7850.99,15653.85,44171.1,28517.25,182.17,2.82,343480,56010,3453,0.01005,4.53,45.57,247,0.07153,B2C,All,North America,False,False
CAM000038,Inverse zero administration time-frame,3,5,7,Retention,2025-08-16,2025-11-14,90,Completed,29014.28,47942.84,148987.39,101044.55,210.76,3.11,1609155,527071,26624,0.01655,1.8,29.79,1289,0.04841,B2C,Mobile,North America,False,False
CAM000039,Centralized discrete alliance,2,2,4,Brand Awareness,2026-05-09,2026-06-23,45,Completed,11312.62,28160.46,81545.74,53385.28,189.58,2.9,482627,391178,16380,0.03394,1.72,58.35,948,0.05788,B2C,All,North America,False,False
CAM000040,Intuitive impactful flexibility,1,1,8,Lead Generation,2025-07-25,2025-08-24,30,Completed,11797.06,101108.96,356674.26,255565.3,252.76,3.53,905175,461084,38814,0.04288,2.6,111.7,2701,0.06959,B2C,Mobile,North America,False,False
CAM000041,Cloned didactic open system,2,6,6,Conversion,2024-10-25,2024-11-24,30,Active,10695.48,15832.95,47590.34,31757.39,200.58,3.01,750940,285482,11854,0.01579,1.34,21.08,429,0.03619,B2C,Mobile,Europe,False,False
CAM000042,Universal foreground data-warehouse,2,4,8,Lead Generation,2026-07-25,2026-08-24,30,Paused,44594.53,132747.5,401706.64,268959.14,202.61,3.03,3446089,799959,92133,0.02674,1.44,38.52,6218,0.06749,B2C,Mobile,North America,False,False
CAM000043,Streamlined modular infrastructure,6,2,3,Lead Generation,2026-07-23,2026-09-06,45,Paused,17277.72,8050.85,22098.7,14047.85,174.49,2.74,579127,405477,8551,0.01477,0.94,13.9,512,0.05988,B2C,All,North America,False,False
CAM000044,Stand-alone logistical circuit,2,4,7,Retention,2026-08-02,2026-09-16,45,Completed,4083.74,6690.03,20254.15,13564.12,202.75,3.03,256591,98167,4853,0.01891,1.38,26.07,240,0.04945,B2C,Desktop,North America,False,False
CAM000045,Fundamental client-driven encryption,5,2,9,Lead Generation,2025-04-06,2025-05-06,30,Completed,11983.9,12966.42,40413.74,27447.32,211.68,3.12,818680,600671,11949,0.0146,1.09,15.84,748,0.0626,B2B,All,North America,False,False
CAM000046,User-friendly next generation monitoring,2,4,5,Lead Generation,2025-10-12,2025-11-26,45,Active,6620.74,9007.48,26799.46,17791.98,197.52,2.98,291680,189940,7746,0.02656,1.16,30.88,407,0.05254,B2B,All,Global,False,False
CAM000047,Fundamental value-added paradigm,1,3,5,Conversion,2025-01-08,2025-04-08,90,Paused,24412.11,126588.78,436052.52,309463.74,244.46,3.44,1315010,696239,48597,0.03696,2.6,96.26,2508,0.05161,B2B,Desktop,Europe,False,False
CAM000048,Optimized optimal initiative,7,5,3,Brand Awareness,2026-08-13,2026-10-12,60,Completed,23537.32,17049.98,36089.86,19039.88,111.67,2.12,621142,198544,4072,0.00656,4.19,27.45,162,0.03978,B2B,All,Europe,False,False
CAM000049,Multi-lateral directional challenge,2,6,4,Lead Generation,2025-01-04,2025-02-03,30,Completed,29582.58,29331.91,85243.23,55911.32,190.62,2.91,1456529,899952,19137,0.01314,1.53,20.14,886,0.0463,B2C,All,North America,False,False
CAM000050,Profound modular array,5,6,6,Conversion,2026-06-28,2026-08-27,60,Paused,18210.54,14249.16,11573.46,-2675.7,-18.78,0.81,1424247,312345,13484,0.00947,1.06,10.0,510,0.03782,B2B,All,North America,False,True
CAM000051,Versatile actuating budgetary management,5,5,9,Brand Awareness,2026-07-11,2026-08-25,45,Completed,7535.04,8769.06,6501.7,-2267.36,-25.86,0.74,384973,98968,5975,0.01552,1.47,22.78,224,0.03749,B2B,All,North America,False,True
CAM000052,Distributed responsive complexity,5,5,9,Lead Generation,2025-05-17,2025-06-16,30,Completed,15264.96,7859.5,21766.93,13907.43,176.95,2.77,721947,289016,6954,0.00963,1.13,10.89,251,0.03609,B2C,All,North America,False,False
CAM000053,Synergized interactive policy,2,4,2,Brand Awareness,2025-03-08,2025-06-06,90,Active,41817.66,94485.09,286232.83,191747.74,202.94,3.03,2524798,214270,63742,0.02525,1.48,37.42,3635,0.05703,B2B,All,Latin America,False,False
CAM000054,Cloned human-resource implementation,4,3,3,Brand Awareness,2025-07-22,2025-09-05,45,Completed,6352.82,18167.95,51848.79,33680.84,185.39,2.85,286877,133190,6037,0.02104,3.01,63.33,262,0.0434,B2B,Mobile,North America,False,False
CAM000055,Right-sized maximized moderator,3,4,1,Brand Awareness,2025-03-15,2025-04-14,30,Completed,24279.17,48700.8,145373.32,96672.52,198.5,2.99,1457638,348707,24250,0.01664,2.01,33.41,1290,0.0532,B2B,Mobile,Global,False,False
CAM000056,Function-based neutral access,2,5,4,Lead Generation,2025-06-20,2025-07-20,30,Completed,3923.35,5222.89,15427.7,10204.81,195.39,2.95,202115,157252,3484,0.01724,1.5,25.84,142,0.04076,B2C,All,North America,False,False
CAM000057,Synergized uniform budgetary management,5,3,5,Brand Awareness,2025-02-22,2025-04-23,60,Completed,22771.07,37356.37,17898.69,-19457.69,-30.0,0.48,1928043,407281,30448,0.01579,1.23,19.38,1402,0.04605,B2C,All,Europe,False,True
CAM000058,Synergized national system engine,6,2,10,Brand Awareness,2025-07-10,2025-10-08,90,Completed,10808.79,11145.37,25709.34,14563.97,130.67,2.31,546534,320245,8981,0.01643,1.24,20.39,571,0.06358,B2B,All,Asia-Pacific,False,False
CAM000059,Future-proofed zero administration project,6,5,8,Brand Awareness,2025-05-07,2025-06-21,45,Active,51715.92,17284.4,46621.61,29337.21,169.73,2.7,1676935,669515,17592,0.01049,0.98,10.31,674,0.03831,B2C,All,Asia-Pacific,False,False
CAM000060,Mandatory bifurcated frame,7,2,10,Brand Awareness,2025-12-28,2026-02-26,60,Completed,1999.29,3989.42,11680.17,7690.76,192.78,2.93,84944,21070,699,0.00823,5.71,46.97,41,0.05866,B2C,All,Europe,False,False
CAM000061,Optional cohesive knowledgebase,5,4,4,Conversion,2025-09-14,2025-10-29,45,Completed,10390.29,11650.96,32880.91,21229.95,182.22,2.82,713060,167621,10201,0.01431,1.14,16.34,391,0.03833,B2C,All,Asia-Pacific,False,False
CAM000062,Adaptive uniform success,3,5,4,Retention,2026-01-30,2026-03-01,30,Completed,28833.08,43068.98,131460.85,88391.87,205.23,3.05,1540792,1045223,24424,0.01585,1.76,27.95,1148,0.047,B2C,All,Europe,False,False
CAM000063,Fundamental motivating task-force,6,1,3,Retention,2024-11-13,2024-12-28,45,Completed,48165.49,29116.95,76600.37,47483.43,163.08,2.63,1945595,770896,31039,0.01595,0.94,14.97,1667,0.05371,B2C,Mobile,North America,False,False
CAM000064,Enhanced motivating benchmark,6,2,9,Brand Awareness,2024-10-30,2024-12-14,45,Draft,12342.56,5929.85,15563.59,9633.74,162.46,2.62,516935,72565,5333,0.01032,1.11,11.47,338,0.06338,B2C,All,North America,False,False
CAM000065,Self-enabling exuding productivity,1,1,2,Retention,2024-12-14,2025-01-13,30,Completed,11266.79,151937.17,414395.48,262458.32,172.74,2.73,1217351,710820,48299,0.03968,3.15,124.81,3549,0.07348,B2C,All,Asia-Pacific,False,False
CAM000066,Profit-focused real-time customer loyalty,7,5,6,Retention,2025-02-08,2025-03-10,30,Completed,20297.69,43463.26,109298.31,65835.04,151.47,2.51,1002793,702975,7137,0.00712,6.09,43.34,416,0.05829,B2C,Mobile,Latin America,False,False
CAM000067,Distributed holistic task-force,2,2,4,Retention,2025-03-14,2025-05-13,60,Completed,44906.06,120506.23,423278.73,302772.5,251.25,3.51,2907163,959669,73081,0.02514,1.65,41.45,4326,0.05919,B2B,All,Global,False,False
CAM000068,Diverse needs-based time-frame,3,3,5,Lead Generation,2026-01-17,2026-02-16,30,Completed,20212.62,64105.67,201763.08,137657.41,214.74,3.15,1735821,624232,39228,0.0226,1.63,36.93,2388,0.06087,B2C,All,Asia-Pacific,False,False
CAM000069,Progressive 24hour policy,6,1,5,Retention,2024-11-14,2024-12-29,45,Paused,13984.24,8350.63,20876.01,12525.39,149.99,2.5,533895,122153,8675,0.01625,0.96,15.64,495,0.05706,B2B,Mobile,Europe,False,False
CAM000070,Inverse mobile adapter,6,6,4,Lead Generation,2024-12-10,2025-01-09,30,Paused,39115.72,9869.58,16023.15,6153.57,62.35,1.62,1566404,1292213,9986,0.00638,0.99,6.3,437,0.04376,B2B,Mobile,Asia-Pacific,False,True
CAM000071,Customizable high-level workforce,1,4,4,Conversion,2025-01-17,2025-03-03,45,Completed,33037.02,211677.33,643154.38,431477.06,203.84,3.04,2399263,556809,79176,0.033,2.67,88.23,5397,0.06816,B2C,Desktop,Europe,False,False
CAM000072,Integrated disintermediate approach,7,1,3,Brand Awareness,2025-02-22,2025-04-23,60,Completed,47094.27,127965.19,341749.15,213783.95,167.06,2.67,2583010,1069397,22600,0.00875,5.66,49.54,1750,0.07743,B2C,Mobile,North America,False,False
CAM000073,Front-line non-volatile artificial intelligence,5,5,6,Brand Awareness,2025-03-05,2025-05-04,60,Draft,12911.92,11195.46,26505.89,15310.43,136.76,2.37,904683,656083,9691,0.01071,1.16,12.38,367,0.03787,B2B,All,North America,False,False
CAM000074,Configurable upward-trending matrix,2,4,10,Lead Generation,2025-06-30,2025-08-14,45,Active,37413.41,107596.21,352009.25,244413.04,227.16,3.27,2441351,2043456,67269,0.02755,1.6,44.07,3789,0.05633,B2C,All,Latin America,False,False
CAM000075,Cloned well-modulated monitoring,4,6,5,Retention,2026-01-05,2026-02-04,30,Completed,5688.65,6801.57,10509.39,3707.83,54.51,1.55,279048,73124,2458,0.00881,2.77,24.37,132,0.0537,B2C,All,Asia-Pacific,False,True
CAM000076,Visionary clear-thinking capacity,1,2,8,Conversion,2025-06-02,2025-07-02,30,Completed,30989.5,135277.26,420385.01,285107.75,210.76,3.11,1967325,440012,69752,0.03546,1.94,68.76,5009,0.07181,B2C,Mobile,Latin America,False,False
CAM000077,Switchable methodical neural-net,5,2,5,Retention,2025-09-07,2025-10-07,30,Completed,5085.06,5976.06,15225.26,9249.2,154.77,2.55,317675,158750,4991,0.01571,1.2,18.81,308,0.06171,B2C,Desktop,North America,False,False
CAM000078,Down-sized empowering moderator,2,3,5,Conversion,2025-12-02,2026-01-01,30,Draft,10192.19,30393.49,94679.79,64286.31,211.51,3.12,669787,305949,19613,0.02928,1.55,45.38,1165,0.0594,B2C,Desktop,North America,False,False
CAM000079,Robust interactive data-warehouse,1,6,8,Retention,2026-03-06,2026-06-04,90,Completed,5578.72,17368.53,55109.47,37740.94,217.29,3.17,484417,139197,9046,0.01868,1.92,35.85,238,0.02631,B2C,Desktop,Asia-Pacific,False,False
CAM000080,Quality-focused web-enabled superstructure,6,1,3,Brand Awareness,2026-02-09,2026-03-11,30,Active,31274.89,27658.91,36427.62,8768.71,31.7,1.32,1589397,487927,25354,0.01595,1.09,17.4,1661,0.06551,B2C,Mobile,Europe,False,True
CAM000081,Team-oriented dedicated structure,2,2,10,Conversion,2025-12-28,2026-01-27,30,Paused,40496.55,86958.59,270613.95,183655.36,211.2,3.11,1990130,547475,52207,0.02623,1.67,43.69,2959,0.05668,B2C,All,Europe,False,False
CAM000082,Integrated impactful secured line,6,4,5,Lead Generation,2025-08-27,2025-10-11,45,Completed,17581.08,15989.49,45431.96,29442.46,184.14,2.84,912816,620709,15254,0.01671,1.05,17.52,676,0.04432,B2C,Mobile,Latin America,False,False
CAM000083,Streamlined holistic intranet,4,4,4,Brand Awareness,2024-08-17,2024-11-15,90,Completed,51365.8,150643.71,205695.64,55051.93,36.54,1.37,2410773,890373,46864,0.01944,3.21,62.49,2245,0.0479,B2B,All,North America,False,True
CAM000084,Programmable local capability,5,5,4,Brand Awareness,2026-03-07,2026-04-06,30,Active,8602.25,8835.85,3329.18,-5506.67,-30.0,0.38,584530,306654,6500,0.01112,1.36,15.12,266,0.04092,B2C,All,Europe,False,True
CAM000085,Fully-configurable directional architecture,5,3,9,Retention,2025-04-01,2025-05-31,60,Completed,6993.21,14484.71,39531.55,25046.84,172.92,2.73,628204,83406,10637,0.01693,1.36,23.06,536,0.05039,B2C,All,Asia-Pacific,False,False
CAM000086,Mandatory 3rdgeneration parallelism,3,1,7,Lead Generation,2026-05-29,2026-07-28,60,Completed,80817.9,118024.81,404268.86,286244.05,242.53,3.43,3077410,1270133,68759,0.02234,1.72,38.35,4293,0.06244,B2C,Mobile,Latin America,False,False
CAM000087,Reactive discrete parallelism,4,4,1,Lead Generation,2026-08-11,2026-09-25,45,Paused,6994.79,20529.82,56666.61,36136.79,176.02,2.76,320397,287625,6099,0.01904,3.37,64.08,296,0.04853,B2B,Desktop,North America,False,False
CAM000088,Face-to-face 24hour archive,3,4,1,Retention,2024-09-19,2024-10-19,30,Completed,67147.39,180404.86,26296.22,-154108.64,-30.0,0.15,4037050,1714119,82552,0.02045,2.19,44.69,3467,0.042,B2C,All,Latin America,False,True
CAM000089,Triple-buffered responsive approach,4,1,5,Lead Generation,2025-05-17,2025-06-16,30,Draft,3004.2,11546.13,124428.73,112882.6,977.67,10.78,163189,24429,3581,0.02195,3.22,70.75,194,0.05417,B2C,All,Europe,True,False
CAM000090,Focused asymmetric alliance,6,1,2,Lead Generation,2024-10-24,2024-12-08,45,Active,70437.85,36276.3,103599.83,67323.54,185.59,2.86,2518971,1460391,41323,0.0164,0.88,14.4,2762,0.06684,B2B,All,North America,False,False
CAM000091,Managed asynchronous migration,6,1,4,Lead Generation,2026-02-16,2026-04-02,45,Completed,25433.64,16410.44,126516.03,110105.59,670.95,7.71,1045182,376350,17748,0.01698,0.92,15.7,1249,0.07037,B2C,Mobile,North America,True,False
CAM000092,Front-line even-keeled secured line,4,6,3,Conversion,2025-08-02,2025-09-01,30,Completed,54673.98,74839.26,210085.47,135246.21,180.72,2.81,3092391,1888579,27150,0.00878,2.76,24.2,1179,0.04343,B2C,All,North America,False,False
CAM000093,Pre-emptive didactic moratorium,1,1,4,Brand Awareness,2026-05-12,2026-06-11,30,Completed,23938.55,238789.87,774652.56,535862.69,224.41,3.24,2060067,940651,92008,0.04466,2.6,115.91,5563,0.06046,B2C,All,Asia-Pacific,False,False
CAM000094,De-engineered uniform orchestration,7,5,7,Retention,2024-08-18,2024-10-17,60,Completed,1552.32,1557.27,2970.89,1413.62,90.78,1.91,61676,31312,313,0.00508,4.98,25.25,12,0.03834,B2C,Desktop,Latin America,False,True
CAM000095,Re-engineered methodical encryption,1,5,8,Retention,2025-01-24,2025-02-23,30,Draft,37290.85,131770.31,341233.28,209462.97,158.96,2.59,2213357,842595,56914,0.02571,2.32,59.53,2184,0.03837,B2C,Mobile,North America,False,True
CAM000096,Phased incremental core,2,2,9,Conversion,2026-05-10,2026-06-24,45,Active,22542.56,67902.36,80617.92,12715.57,18.73,1.19,1830728,467073,48898,0.02671,1.39,37.09,3570,0.07301,B2C,Desktop,Asia-Pacific,False,True
CAM000097,Cross-platform bandwidth-monitored protocol,6,1,4,Lead Generation,2025-11-05,2025-12-20,45,Active,45586.03,21208.31,60237.21,39028.9,184.03,2.84,1864024,1008175,24777,0.01329,0.86,11.38,1621,0.06542,B2C,Desktop,North America,False,False
CAM000098,Optional heuristic interface,5,3,9,Conversion,2025-06-06,2025-08-05,60,Active,18377.48,30763.0,80499.43,49736.43,161.68,2.62,1633596,768690,28758,0.0176,1.07,18.83,1726,0.06002,B2C,Desktop,North America,False,False
CAM000099,Open-source maximized superstructure,6,3,10,Lead Generation,2024-09-21,2024-10-21,30,Active,5789.46,3022.36,8797.9,5775.53,191.09,2.91,295663,159544,3565,0.01206,0.85,10.22,187,0.05245,B2B,All,North America,False,False
CAM000100,Business-focused systematic projection,6,4,1,Brand Awareness,2024-12-03,2025-01-02,30,Paused,1948.08,1132.84,3482.27,2349.43,207.39,3.07,116089,16081,1232,0.01062,0.92,9.76,54,0.04383,B2C,All,North America,False,False
CAM000101,Stand-alone bandwidth-monitored approach,1,6,3,Brand Awareness,2024-08-20,2024-10-19,60,Paused,4081.56,12170.75,37079.36,24908.61,204.66,3.05,338607,270533,4705,0.0139,2.59,35.94,187,0.03974,B2B,Mobile,Latin America,False,False
CAM000102,Open-architected upward-trending Graphical User Interface,6,2,10,Brand Awareness,2026-04-20,2026-06-04,45,Active,22086.25,9971.02,22749.66,12778.64,128.16,2.28,763592,411273,10805,0.01415,0.92,13.06,553,0.05118,B2B,All,Asia-Pacific,False,False
CAM000103,Customer-focused dynamic core,5,5,7,Retention,2025-01-19,2025-02-18,30,Active,1300.25,1171.91,3756.83,2584.92,220.57,3.21,63926,25710,881,0.01379,1.33,18.33,35,0.03973,B2B,Mobile,Europe,False,False
CAM000104,Ergonomic national knowledge user,5,3,3,Conversion,2025-10-28,2026-01-26,90,Completed,19126.48,24678.47,72981.83,48303.36,195.73,2.96,1127088,25410,21026,0.01866,1.17,21.9,1064,0.0506,B2C,Desktop,Asia-Pacific,False,False
CAM000105,Devolved interactive contingency,2,3,2,Retention,2025-12-09,2026-02-07,60,Completed,3419.47,8727.63,208774.64,200047.01,1500.0,23.92,197064,84716,5415,0.02748,1.61,44.29,337,0.06223,B2C,All,Asia-Pacific,True,False
CAM000106,Grass-roots maximized encryption,4,2,5,Lead Generation,2024-08-30,2024-10-29,60,Completed,69526.64,244692.39,39417.68,-205274.71,-30.0,0.16,3512778,2300823,88535,0.0252,2.76,69.66,6125,0.06918,B2C,Mobile,Asia-Pacific,False,True
CAM000107,Compatible leadingedge workforce,7,4,7,Conversion,2025-07-07,2025-08-21,45,Active,7431.76,12034.66,32187.51,20152.85,167.46,2.67,305637,128238,2658,0.0087,4.53,39.38,144,0.05418,B2C,Mobile,North America,False,False
CAM000108,Reactive bandwidth-monitored application,4,4,10,Brand Awareness,2025-03-26,2025-05-25,60,Completed,27766.01,89340.81,265999.9,176659.09,197.74,2.98,2175264,845024,34000,0.01563,2.63,41.07,1393,0.04097,B2B,All,Europe,False,False
CAM000109,Streamlined needs-based access,7,3,2,Retention,2026-02-08,2026-03-10,30,Completed,40682.24,54620.9,163453.99,108833.09,199.25,2.99,1091326,676263,9767,0.00895,5.59,50.05,605,0.06194,B2C,Desktop,Global,False,False
