Date,CampaignID,DailySpend,DailyImpressions,DailyClicks,DailyConversions,DailyRevenue
2024-10-31,CAM003725,924.51,22620,231,10,2399.45
2024-11-01,CAM003725,640.95,15682,160,7,1663.52
2024-11-02,CAM003725,995.3,24352,248,13,2583.19
2024-11-03,CAM003725,745.47,18239,186,10,1934.78
2026-07-05,CAM009515,655.0,29070,468,28,1902.04
2026-07-06,CAM009515,507.5,22524,362,16,1473.72
2026-07-07,CAM009515,539.95,23964,385,14,1567.97
2026-07-08,CAM009515,619.63,27501,442,23,1799.35
2026-07-09,CAM009515,584.6,25946,417,19,1697.62
2026-07-10,CAM009515,440.02,19529,314,14,1277.78
2026-07-11,CAM009515,599.85,26622,428,18,1741.89
2026-07-12,CAM009515,622.01,27606,444,24,1806.25
2026-07-13,CAM009515,851.62,37797,608,31,2473.02
2026-07-14,CAM009515,614.87,27289,439,21,1785.52
2026-07-15,CAM009515,397.88,17659,284,14,1155.4
2026-07-16,CAM009515,591.08,26233,422,34,1716.43
2026-07-17,CAM009515,561.96,24941,401,21,1631.88
2026-07-18,CAM009515,637.96,28314,456,18,1852.56
2026-07-19,CAM009515,807.37,35833,577,33,2344.51
2026-07-20,CAM009515,684.1,30362,489,20,1986.57
2026-07-21,CAM009515,773.14,34314,552,20,2245.12
2026-07-22,CAM009515,656.73,29147,469,36,1907.08
2026-07-23,CAM009515,479.05,21261,342,15,1391.1
2026-07-24,CAM009515,595.76,26441,425,19,1730.02
2026-07-25,CAM009515,471.11,20909,336,17,1368.04
2026-07-26,CAM009515,519.44,23054,371,20,1508.4
2026-07-27,CAM009515,485.91,21565,347,23,1411.03
2026-07-28,CAM009515,499.32,22161,356,16,1449.98
2026-07-29,CAM009515,687.19,30499,491,19,1995.52
2026-07-30,CAM009515,611.18,27126,436,28,1774.81
2026-07-31,CAM009515,423.44,18793,302,15,1229.62
2026-08-01,CAM009515,698.04,30981,499,29,2027.05
2026-08-02,CAM009515,517.45,22965,369,14,1502.62
2026-08-03,CAM009515,668.73,29680,478,25,1941.93
2026-08-04,CAM009515,633.39,28111,452,24,1839.31
2026-08-05,CAM009515,525.84,23338,375,19,1526.97
2026-08-06,CAM009515,638.81,28352,456,19,1855.04
2026-08-07,CAM009515,874.94,38832,625,34,2540.72
2026-08-08,CAM009515,522.2,23176,373,21,1516.4
2026-08-09,CAM009515,545.32,24202,389,22,1583.55
2026-08-10,CAM009515,759.54,33710,542,22,2205.63
2026-08-11,CAM009515,730.46,32419,522,28,2121.17
2026-08-12,CAM009515,710.1,31516,507,37,2062.06
2026-08-13,CAM009515,573.59,25457,410,17,1665.65
2026-08-14,CAM009515,504.26,22380,360,15,1464.32
2026-08-15,CAM009515,652.55,28961,466,24,1894.93
2026-08-16,CAM009515,700.39,31085,500,29,2033.87
2026-08-17,CAM009515,604.01,26807,431,28,1753.99
2026-08-18,CAM009515,571.39,25359,408,35,1659.24
2026-08-19,CAM009515,682.75,30302,488,20,1982.63
2026-08-20,CAM009515,486.3,21583,347,19,1412.15
2026-08-21,CAM009515,576.11,25569,411,23,1672.97
2026-08-22,CAM009515,728.47,32331,520,25,2115.41
2026-08-23,CAM009515,559.45,24829,399,14,1624.57
2026-08-24,CAM009515,550.98,24453,393,23,1599.98
2026-08-25,CAM009515,628.8,27907,449,17,1825.97
2026-08-26,CAM009515,623.68,27680,445,24,1811.09
2026-08-27,CAM009515,504.83,22405,360,18,1465.98
2026-08-28,CAM009515,609.5,27051,435,17,1769.92
2026-08-29,CAM009515,711.85,31593,508,28,2067.13
2026-08-30,CAM009515,822.97,36525,588,36,2389.81
2026-08-31,CAM009515,457.36,20298,326,13,1328.11
2026-09-01,CAM009515,681.44,30244,487,26,1978.82
2026-09-02,CAM009515,681.44,30244,487,52,1978.83
2026-02-14,CAM007332,2544.9,58867,1606,100,4378.34
2026-02-15,CAM007332,2747.57,63555,1734,98,4727.0
2026-02-16,CAM007332,1937.8,44824,1223,71,3333.85
2026-02-17,CAM007332,1768.34,40904,1116,53,3042.31
2026-02-18,CAM007332,1872.98,43325,1182,60,3222.34
2026-02-19,CAM007332,3278.99,75848,2070,71,5641.29
2026-02-20,CAM007332,2367.55,54765,1494,54,4073.22
2026-02-21,CAM007332,2065.82,47785,1304,81,3554.11
2026-02-22,CAM007332,2299.68,53195,1452,58,3956.45
2026-02-23,CAM007332,1788.8,41377,1129,64,3077.51
2026-02-24,CAM007332,1783.42,41253,1126,58,3068.25
2026-02-25,CAM007332,2082.81,48178,1315,57,3583.34
2026-02-26,CAM007332,3168.93,73302,2001,113,5451.93
2026-02-27,CAM007332,1376.54,31841,869,45,2368.25
2026-02-28,CAM007332,1988.85,46005,1255,74,3421.69
2026-03-01,CAM007332,2000.7,46279,1263,61,3442.08
2026-03-02,CAM007332,2357.71,54537,1488,88,4056.28
2026-03-03,CAM007332,1676.37,38777,1058,49,2884.09
2026-03-04,CAM007332,1938.09,44831,1223,53,3334.36
2026-03-05,CAM007332,3033.7,70174,1915,103,5219.28
2026-03-06,CAM007332,1656.18,38310,1045,62,2849.36
2026-03-07,CAM007332,3583.84,82900,2263,139,6165.76
2026-03-08,CAM007332,1730.01,40018,1092,49,2976.37
2026-03-09,CAM007332,2745.81,63514,1733,75,4723.98
2026-03-10,CAM007332,2329.04,53874,1470,85,4006.96
2026-03-11,CAM007332,1770.58,40956,1118,55,3046.17
2026-03-12,CAM007332,1114.54,25781,703,28,1917.49
2026-03-13,CAM007332,2026.23,46870,1279,49,3486.0
2026-03-14,CAM007332,3249.45,75165,2051,77,5590.46
2026-03-15,CAM007332,2146.83,49659,1355,69,3693.49
2026-03-16,CAM007332,2843.25,65768,1795,67,4891.62
2026-03-17,CAM007332,2689.42,62210,1698,85,4626.97
2026-03-18,CAM007332,1751.36,40511,1105,60,3013.1
2026-03-19,CAM007332,2217.78,51300,1400,62,3815.54
2026-03-20,CAM007332,2161.18,49991,1364,63,3718.16
2026-03-21,CAM007332,2398.17,55473,1514,86,4125.9
2026-03-22,CAM007332,3219.44,74470,2032,79,5538.83
2026-03-23,CAM007332,3265.13,75527,2061,69,5617.44
2026-03-24,CAM007332,2067.49,47824,1305,73,3556.98
2026-03-25,CAM007332,2254.42,52148,1423,62,3878.58
2026-03-26,CAM007332,2044.33,47288,1290,58,3517.13
2026-03-27,CAM007332,1894.24,43816,1196,70,3258.92
2026-03-28,CAM007332,2517.85,58242,1589,69,4331.8
2026-03-29,CAM007332,2806.46,64917,1772,94,4828.33
2026-03-30,CAM007332,2507.45,58001,1583,89,4313.9
2026-03-31,CAM007332,1805.6,41766,1140,50,3106.42
2026-04-01,CAM007332,2605.03,60258,1644,92,4481.79
2026-04-02,CAM007332,2234.03,51676,1410,72,3843.5
2026-04-03,CAM007332,2896.55,67001,1829,81,4983.32
2026-04-04,CAM007332,2753.07,63682,1738,83,4736.47
2026-04-05,CAM007332,2362.59,54650,1491,92,4064.69
2026-04-06,CAM007332,2646.05,61207,1670,98,4552.36
2026-04-07,CAM007332,2912.7,67375,1839,92,5011.12
2026-04-08,CAM007332,2571.21,59476,1623,76,4423.6
2026-04-09,CAM007332,2393.65,55369,1511,73,4118.12
2026-04-10,CAM007332,2287.33,52909,1444,81,3935.2
2026-04-11,CAM007332,2095.21,48465,1323,100,3604.67
2026-04-12,CAM007332,2017.97,46678,1274,49,3471.79
2026-04-13,CAM007332,2828.11,65418,1785,104,4865.58
2026-04-14,CAM007332,2541.64,58792,1604,90,4372.73
2025-05-20,CAM005981,630.79,16090,361,15,1879.92
2025-05-21,CAM005981,642.0,16376,367,16,1913.32
2025-05-22,CAM005981,768.51,19603,440,21,2290.35
2025-05-23,CAM005981,536.1,13675,307,14,1597.73
2025-05-24,CAM005981,755.45,19271,432,19,2251.46
2025-05-25,CAM005981,590.1,15052,337,17,1758.65
2025-05-26,CAM005981,664.09,16940,380,17,1979.16
2025-05-27,CAM005981,575.49,14680,329,17,1715.1
2025-05-28,CAM005981,473.34,12074,271,10,1410.67
2025-05-29,CAM005981,547.7,13971,313,14,1632.3
2025-05-30,CAM005981,672.91,17165,385,25,2005.44
2025-05-31,CAM005981,825.73,21063,472,22,2460.89
2025-06-01,CAM005981,672.14,17145,384,15,2003.17
2025-06-02,CAM005981,611.1,15588,349,16,1821.24
2025-06-03,CAM005981,654.26,16689,374,15,1949.88
2025-06-04,CAM005981,680.5,17359,389,26,2028.08
2025-06-05,CAM005981,600.17,15309,343,18,1788.67
2025-06-06,CAM005981,704.15,17962,403,18,2098.56
2025-06-07,CAM005981,705.63,18000,404,20,2102.97
2025-06-08,CAM005981,688.01,17550,394,16,2050.47
2025-06-09,CAM005981,616.38,15723,352,19,1836.98
2025-06-10,CAM005981,819.91,20915,469,28,2443.55
2025-06-11,CAM005981,943.5,24067,540,23,2811.89
2025-06-12,CAM005981,730.28,18628,418,21,2176.43
2025-06-13,CAM005981,950.44,24244,544,23,2832.56
2025-06-14,CAM005981,570.4,14550,326,14,1699.93
2025-06-15,CAM005981,441.2,11254,252,11,1314.89
2025-06-16,CAM005981,526.97,13442,301,15,1570.5
2025-06-17,CAM005981,656.76,16753,376,27,1957.31
2025-06-18,CAM005981,741.78,18922,424,18,2210.69
2024-08-19,CAM001545,2267.9,51080,1391,76,6436.9
2024-08-20,CAM001545,2084.42,46947,1278,92,5916.14
2024-08-21,CAM001545,3436.4,77398,2108,95,9753.42
2024-08-22,CAM001545,1926.89,43399,1182,77,5469.04
2024-08-23,CAM001545,2652.83,59750,1627,104,7529.45
2024-08-24,CAM001545,2170.51,48886,1331,59,6160.48
2024-08-25,CAM001545,2988.87,67318,1833,92,8483.21
2024-08-26,CAM001545,2480.65,55872,1521,86,7040.77
2024-08-27,CAM001545,2192.43,49380,1345,65,6222.71
2024-08-28,CAM001545,2780.4,62623,1705,94,7891.53
2024-08-29,CAM001545,3129.45,70485,1919,76,8882.24
2024-08-30,CAM001545,1997.13,44981,1225,79,5668.4
2024-08-31,CAM001545,3190.92,71869,1957,84,9056.69
2024-09-01,CAM001545,4154.86,93580,2548,130,11792.62
2024-09-02,CAM001545,3506.43,78975,2151,109,9952.19
2024-09-03,CAM001545,4182.41,94200,2565,182,11870.81
2024-09-04,CAM001545,2635.16,59352,1616,98,7479.31
2024-09-05,CAM001545,3151.29,70977,1933,127,8944.23
2024-09-06,CAM001545,2283.6,51433,1400,80,6481.48
2024-09-07,CAM001545,3764.95,84798,2309,81,10685.93
2024-09-08,CAM001545,2404.63,54159,1475,49,6824.99
2024-09-09,CAM001545,2624.41,59109,1610,92,7448.79
2024-09-10,CAM001545,3740.46,84246,2294,116,10616.45
2024-09-11,CAM001545,3836.12,86401,2353,89,10887.94
2024-09-12,CAM001545,1970.06,44371,1208,59,5591.55
2024-09-13,CAM001545,2990.83,67362,1834,91,8488.79
2024-09-14,CAM001545,2014.88,45381,1236,60,5718.78
2024-09-15,CAM001545,2347.04,52862,1439,82,6661.53
2024-09-16,CAM001545,2980.4,67127,1828,75,8459.18
2024-09-17,CAM001545,2499.19,56289,1533,62,7093.36
2024-09-18,CAM001545,2735.19,61605,1677,101,7763.22
2024-09-19,CAM001545,2274.12,51220,1395,77,6454.57
2024-09-20,CAM001545,2491.01,56105,1528,65,7070.15
2024-09-21,CAM001545,2982.14,67167,1829,74,8464.13
2024-09-22,CAM001545,2727.32,61427,1673,65,7740.86
2024-09-23,CAM001545,4102.86,92409,2517,126,11645.01
2024-09-24,CAM001545,2407.99,54235,1477,77,6834.53
2024-09-25,CAM001545,2708.17,60996,1661,79,7686.51
2024-09-26,CAM001545,3131.69,70535,1921,111,8888.57
2024-09-27,CAM001545,2490.88,56102,1528,68,7069.8
2024-09-28,CAM001545,2883.6,64947,1769,55,8184.42
2024-09-29,CAM001545,2250.18,50681,1380,90,6386.62
2024-09-30,CAM001545,3848.69,86684,2361,112,10923.61
2024-10-01,CAM001545,3263.63,73507,2002,106,9263.06
2024-10-02,CAM001545,5383.32,121249,3302,206,15279.31
2024-10-03,CAM001545,2834.72,63846,1739,71,8045.72
2024-10-04,CAM001545,2109.05,47502,1293,67,5986.06
2024-10-05,CAM001545,2749.91,61936,1687,63,7804.99
2024-10-06,CAM001545,2810.95,63311,1724,69,7978.25
2024-10-07,CAM001545,4075.35,91789,2500,149,11566.95
2024-10-08,CAM001545,2903.55,65397,1781,119,8241.06
2024-10-09,CAM001545,2953.53,66522,1811,76,8382.93
2024-10-10,CAM001545,3943.83,88827,2419,134,11193.67
2024-10-11,CAM001545,2363.35,53229,1449,69,6707.82
2024-10-12,CAM001545,2685.09,60476,1647,62,7621.02
2024-10-13,CAM001545,3850.0,86714,2361,172,10927.35
2024-10-14,CAM001545,2198.59,49519,1348,75,6240.18
2024-10-15,CAM001545,2553.33,57509,1566,71,7247.05
2024-10-16,CAM001545,2583.25,58182,1584,66,7331.97
2024-10-17,CAM001545,2936.54,66140,1801,76,8334.7
2024-09-30,CAM000584,378.24,5698,126,6,738.73
2024-10-01,CAM000584,358.68,5403,119,4,700.53
2024-10-02,CAM000584,335.25,5050,111,6,654.76
2024-10-03,CAM000584,415.88,6265,138,5,812.25
2024-10-04,CAM000584,383.79,5781,128,7,749.57
2024-10-05,CAM000584,296.38,4464,98,5,578.86
2024-10-06,CAM000584,362.49,5460,121,6,707.98
2024-10-07,CAM000584,322.97,4865,107,3,630.79
2024-10-08,CAM000584,271.7,4093,90,4,530.66
2024-10-09,CAM000584,396.3,5970,132,5,774.0
2024-10-10,CAM000584,427.49,6440,142,5,834.93
2024-10-11,CAM000584,371.3,5593,124,4,725.17
2024-10-12,CAM000584,363.28,5472,121,6,709.51
2024-10-13,CAM000584,348.43,5249,116,5,680.52
2024-10-14,CAM000584,460.11,6931,153,6,898.64
2024-10-15,CAM000584,444.68,6699,148,5,868.5
2024-10-16,CAM000584,418.29,6301,139,9,816.96
2024-10-17,CAM000584,229.5,3457,76,3,448.23
2024-10-18,CAM000584,422.26,6361,141,6,824.72
2024-10-19,CAM000584,445.75,6715,148,6,870.59
2024-10-20,CAM000584,421.09,6343,140,6,822.42
2024-10-21,CAM000584,475.22,7159,158,8,928.14
2024-10-22,CAM000584,402.52,6063,134,6,786.15
2024-10-23,CAM000584,341.28,5141,113,5,666.54
2024-10-24,CAM000584,407.12,6133,135,6,795.14
2024-10-25,CAM000584,398.69,6006,133,10,778.67
2024-10-26,CAM000584,492.63,7421,164,7,962.14
2024-10-27,CAM000584,526.25,7927,175,8,1027.8
2024-10-28,CAM000584,250.28,3770,83,3,488.82
2024-10-29,CAM000584,258.8,3898,86,4,505.46
2024-10-30,CAM000584,377.62,5688,126,8,737.53
2024-10-31,CAM000584,401.66,6050,134,6,784.47
2024-11-01,CAM000584,486.42,7327,162,5,950.02
2024-11-02,CAM000584,475.15,7157,158,9,928.0
2024-11-03,CAM000584,337.24,5080,112,7,658.65
2024-11-04,CAM000584,440.93,6642,147,6,861.17
2024-11-05,CAM000584,467.66,7045,156,12,913.38
2024-11-06,CAM000584,427.33,6437,142,7,834.62
2024-11-07,CAM000584,375.9,5662,125,5,734.16
2024-11-08,CAM000584,486.51,7329,162,6,950.19
2024-11-09,CAM000584,459.81,6926,153,6,898.05
2024-11-10,CAM000584,498.84,7514,166,8,974.29
2024-11-11,CAM000584,507.09,7639,169,7,990.4
2024-11-12,CAM000584,390.42,5881,130,5,762.52
2024-11-13,CAM000584,377.03,5679,125,6,736.38
2024-10-02,CAM008665,83.03,3436,42,1,242.07
2024-10-03,CAM008665,84.92,3514,43,2,247.58
2024-10-04,CAM008665,77.52,3207,39,2,225.99
2024-10-05,CAM008665,67.25,2782,34,1,196.05
2024-10-06,CAM008665,55.0,2276,28,1,160.36
2024-10-07,CAM008665,81.35,3366,41,2,237.15
2024-10-08,CAM008665,75.48,3123,38,1,220.04
2024-10-09,CAM008665,116.39,4816,59,3,339.33
2024-10-10,CAM008665,72.95,3018,37,2,212.66
2024-10-11,CAM008665,78.57,3251,40,2,229.07
2024-10-12,CAM008665,67.02,2773,34,1,195.4
2024-10-13,CAM008665,114.38,4733,58,3,333.47
2024-10-14,CAM008665,98.15,4061,50,2,286.13
2024-10-15,CAM008665,58.55,2423,30,1,170.7
2024-10-16,CAM008665,72.17,2986,37,2,210.39
2024-10-17,CAM008665,50.87,2105,26,1,148.31
2024-10-18,CAM008665,69.15,2861,35,1,201.59
2024-10-19,CAM008665,64.12,2653,32,1,186.93
2024-10-20,CAM008665,92.55,3830,47,2,269.82
2024-10-21,CAM008665,55.14,2281,28,1,160.75
2024-10-22,CAM008665,66.73,2761,34,2,194.55
2024-10-23,CAM008665,67.76,2803,34,1,197.53
2024-10-24,CAM008665,67.94,2811,34,1,198.08
2024-10-25,CAM008665,41.61,1722,21,1,121.32
2024-10-26,CAM008665,74.96,3102,38,2,218.54
2024-10-27,CAM008665,113.63,4702,58,3,331.27
2024-10-28,CAM008665,67.63,2798,34,1,197.17
2024-10-29,CAM008665,119.4,4941,61,3,348.1
2024-10-30,CAM008665,71.57,2961,36,1,208.64
2024-10-31,CAM008665,74.25,3072,38,1,216.47
2024-11-01,CAM008665,69.69,2884,35,1,203.17
2024-11-02,CAM008665,85.42,3534,43,1,249.03
2024-11-03,CAM008665,74.56,3085,38,1,217.36
2024-11-04,CAM008665,74.28,3073,38,2,216.55
2024-11-05,CAM008665,46.0,1903,23,1,134.1
2024-11-06,CAM008665,100.29,4150,51,1,292.37
2024-11-07,CAM008665,72.99,3020,37,1,212.78
2024-11-08,CAM008665,58.99,2441,30,1,171.97
2024-11-09,CAM008665,68.86,2849,35,2,200.74
2024-11-10,CAM008665,103.67,4290,53,3,302.25
2024-11-11,CAM008665,90.3,3736,46,1,263.26
2024-11-12,CAM008665,70.38,2912,36,1,205.18
2024-11-13,CAM008665,61.21,2533,31,1,178.46
2024-11-14,CAM008665,74.5,3082,38,1,217.18
2024-11-15,CAM008665,90.11,3728,46,2,262.69
2026-05-12,CAM006008,3710.76,75413,2314,145,12132.94
2026-05-13,CAM006008,3213.04,65298,2003,113,10505.56
2026-05-14,CAM006008,4490.89,91267,2800,131,14683.7
2026-05-15,CAM006008,4257.4,86522,2655,103,13920.24
2026-05-16,CAM006008,5278.0,107264,3291,158,17257.26
2026-05-17,CAM006008,3951.9,80314,2464,151,12921.38
2026-05-18,CAM006008,3464.48,70408,2160,81,11327.68
2026-05-19,CAM006008,2921.52,59373,1822,102,9552.39
2026-05-20,CAM006008,3087.45,62745,1925,136,10094.91
2026-05-21,CAM006008,2630.16,53452,1640,115,8599.74
2026-05-22,CAM006008,4160.5,84553,2594,127,13603.42
2026-05-23,CAM006008,3934.4,79958,2453,132,12864.15
2026-05-24,CAM006008,4354.52,88496,2715,169,14237.81
2026-05-25,CAM006008,4080.73,82932,2545,131,13342.62
2026-05-26,CAM006008,3708.8,75373,2313,114,12126.52
2026-05-27,CAM006008,4241.82,86205,2645,93,13869.3
2026-05-28,CAM006008,3045.89,61901,1899,110,9959.04
2026-05-29,CAM006008,4127.22,83877,2574,124,13494.61
2026-05-30,CAM006008,4403.63,89494,2746,147,14398.36
2026-05-31,CAM006008,3938.46,80040,2456,105,12877.43
2026-06-01,CAM006008,4023.45,81768,2509,103,13155.34
2026-06-02,CAM006008,4198.06,85316,2618,93,13726.24
2026-06-03,CAM006008,4753.13,96597,2964,162,15541.12
2026-06-04,CAM006008,4072.18,82758,2539,154,13314.64
2026-06-05,CAM006008,5398.21,109707,3366,206,17650.31
2026-06-06,CAM006008,2945.0,59850,1836,71,9629.14
2026-06-07,CAM006008,3755.86,76330,2342,117,12280.4
2026-06-08,CAM006008,4290.93,87204,2676,115,14029.89
2026-06-09,CAM006008,4016.16,81619,2504,107,13131.47
2026-06-10,CAM006008,3423.52,69575,2135,80,11193.74
2026-06-11,CAM006008,3216.6,65370,2006,76,10517.2
2026-06-12,CAM006008,3182.91,64686,1985,122,10407.05
2026-06-13,CAM006008,3519.79,71532,2195,185,11508.53
2026-06-14,CAM006008,4697.1,95458,2929,151,15357.93
2026-06-15,CAM006008,3258.61,66224,2032,116,10654.55
2026-06-16,CAM006008,3448.17,70076,2150,110,11274.36
2026-06-17,CAM006008,6455.86,131201,4026,197,21108.49
2026-06-18,CAM006008,4868.7,98946,3036,131,15919.0
2026-06-19,CAM006008,3841.93,78079,2396,170,12561.8
2026-06-20,CAM006008,3754.25,76297,2341,168,12275.13
2026-06-21,CAM006008,4902.93,99641,3057,136,16030.91
2026-06-22,CAM006008,4390.55,89228,2738,166,14355.6
2026-06-23,CAM006008,4381.25,89039,2732,99,14325.2
2026-06-24,CAM006008,3345.26,67985,2086,99,10937.87
2026-06-25,CAM006008,3811.74,77465,2377,134,12463.09
2026-06-26,CAM006008,4008.88,81472,2500,95,13107.68
2026-06-27,CAM006008,4592.03,93323,2864,161,15014.38
2026-06-28,CAM006008,4759.96,96736,2968,184,15563.47
2026-06-29,CAM006008,4571.11,92898,2851,156,14945.99
2026-06-30,CAM006008,3814.99,77531,2379,85,12473.74
2026-07-01,CAM006008,4129.11,83915,2575,134,13500.79
2026-07-02,CAM006008,4000.64,81304,2495,96,13080.73
2026-07-03,CAM006008,3052.39,62033,1903,117,9980.3
2026-07-04,CAM006008,4135.21,84039,2579,147,13520.72
2026-07-05,CAM006008,4191.72,85187,2614,131,13705.51
2026-07-06,CAM006008,4571.29,92901,2851,128,14946.56
2026-07-07,CAM006008,3862.68,78500,2409,109,12629.67
2026-07-08,CAM006008,3473.76,70596,2166,101,11358.03
2026-07-09,CAM006008,3961.27,80504,2470,112,12952.01
2026-07-10,CAM006008,4870.95,98991,3038,127,15926.36
2025-05-29,CAM007096,1926.33,60024,364,16,5016.43
2025-05-30,CAM007096,2670.82,83223,505,26,6955.2
2025-05-31,CAM007096,2703.83,84251,512,19,7041.16
2025-06-01,CAM007096,2250.73,70132,426,25,5861.2
2025-06-02,CAM007096,1971.88,61444,373,23,5135.06
2025-06-03,CAM007096,1749.05,54500,331,21,4554.78
2025-06-04,CAM007096,3071.95,95722,581,27,7999.78
2025-06-05,CAM007096,1774.35,55288,336,22,4620.64
2025-06-06,CAM007096,2660.32,82896,503,22,6927.85
2025-06-07,CAM007096,1961.69,61126,371,17,5108.51
2025-06-08,CAM007096,1630.61,50809,308,12,4246.33
2025-06-09,CAM007096,1586.78,49444,300,12,4132.19
2025-06-10,CAM007096,1926.29,60023,364,19,5016.32
2025-06-11,CAM007096,2644.9,82415,500,20,6887.68
2025-06-12,CAM007096,2361.74,73592,447,21,6150.29
2025-06-13,CAM007096,1920.6,59846,363,20,5001.52
2025-06-14,CAM007096,1704.54,53113,322,17,4438.87
2025-06-15,CAM007096,2205.89,68736,417,23,5744.46
2025-06-16,CAM007096,2055.19,64039,389,31,5351.99
2025-06-17,CAM007096,1707.42,53203,323,14,4446.36
2025-06-18,CAM007096,1712.41,53359,324,14,4459.36
2025-06-19,CAM007096,1707.54,53207,323,20,4446.68
2025-06-20,CAM007096,2577.02,80300,488,21,6710.92
2025-06-21,CAM007096,1806.46,56289,342,18,4704.28
2025-06-22,CAM007096,1910.56,59533,361,20,4975.37
2025-06-23,CAM007096,2020.04,62944,382,14,5260.46
2025-06-24,CAM007096,2643.31,82366,500,35,6883.56
2025-06-25,CAM007096,1715.96,53469,324,14,4468.61
2025-06-26,CAM007096,2053.83,63997,388,20,5348.45
2025-06-27,CAM007096,2212.76,68950,419,31,5762.34
2024-10-21,CAM000211,1940.26,44818,1189,50,6024.05
2024-10-22,CAM000211,1525.54,35238,935,40,4736.44
2024-10-23,CAM000211,1996.88,46125,1223,87,6199.84
2024-10-24,CAM000211,1812.47,41866,1110,58,5627.28
2024-10-25,CAM000211,2003.56,46280,1227,77,6220.59
2024-10-26,CAM000211,3665.29,84664,2246,100,11379.86
2024-10-27,CAM000211,2004.98,46313,1228,75,6224.99
2024-10-28,CAM000211,2303.87,53217,1412,102,7152.97
2024-10-29,CAM000211,2259.17,52184,1384,64,7014.18
2024-10-30,CAM000211,2262.21,52254,1386,86,7023.63
2024-10-31,CAM000211,2368.62,54712,1451,80,7354.01
2024-11-01,CAM000211,2725.14,62947,1670,105,8460.9
2024-11-02,CAM000211,3192.89,73752,1956,111,9913.15
2024-11-03,CAM000211,2342.15,54101,1435,73,7271.82
2024-11-04,CAM000211,2802.43,64733,1717,72,8700.86
2024-11-05,CAM000211,2370.07,54746,1452,67,7358.49
2024-11-06,CAM000211,2214.29,51147,1357,87,6874.85
2024-11-07,CAM000211,2287.37,52835,1401,70,7101.74
2024-11-08,CAM000211,1677.35,38744,1028,59,5207.76
2024-11-09,CAM000211,2755.48,63648,1688,130,8555.1
2024-11-10,CAM000211,2277.18,52600,1395,72,7070.1
2024-11-11,CAM000211,2314.19,53455,1418,97,7185.01
2024-11-12,CAM000211,2160.04,49894,1323,69,6706.39
2024-11-13,CAM000211,2486.22,57429,1523,79,7719.12
2024-11-14,CAM000211,2013.55,46510,1234,64,6251.58
2024-11-15,CAM000211,2728.93,63035,1672,68,8472.68
2024-11-16,CAM000211,2487.03,57447,1524,66,7721.62
2024-11-17,CAM000211,3075.61,71043,1885,69,9549.03
2024-11-18,CAM000211,1968.75,45476,1206,65,6112.5
2024-11-19,CAM000211,3011.05,69552,1845,91,9348.59
2024-11-20,CAM000211,1970.22,45510,1207,87,6117.05
2024-11-21,CAM000211,1648.03,38067,1010,32,5116.74
