PurchaseID,CustomerID,CampaignID,PurchaseDate,PurchaseAmount,DiscountApplied,NetAmount,PaymentMethod,PurchaseStatus,ProfitMargin
PUR000040,CUST03526,CAM000814,2025-10-27,797.92,0.0,797.92,PayPal,Completed,0.377
PUR000041,CUST02418,CAM003756,2026-06-12,223.26,0.0,223.26,Credit Card,Completed,0.214
PUR000042,CUST00586,CAM001168,2026-08-29,154.11,0.0,154.11,Debit Card,Completed,0.332
PUR000043,CUST02183,CAM008028,2026-07-19,7023.54,0.0,7023.54,Debit Card,Cancelled,0.331
PUR000044,CUST03145,CAM006965,2024-10-30,1417.05,0.07,1317.86,Apple Pay,Completed,0.355
PUR000045,CUST01386,CAM001860,2025-06-19,3187.42,0.0,3187.42,PayPal,Completed,0.277
PUR000046,CUST04080,CAM006853,2025-01-08,167.9,0.0,167.9,Credit Card,Completed,0.394
PUR000047,CUST02409,CAM009854,2024-10-11,927.12,0.0,927.12,Apple Pay,Completed,0.304
PUR000048,CUST01366,CAM000565,2025-03-17,2422.14,0.0,2422.14,Debit Card,Completed,0.251
PUR000049,CUST01246,CAM002720,2026-03-13,479.84,0.07,446.25,PayPal,Completed,0.393
PUR000050,CUST02606,CAM008516,2026-02-10,425.37,0.0,425.37,Debit Card,Completed,0.36
PUR000051,CUST04038,CAM009042,2026-04-17,1083.5,0.0,1083.5,Google Pay,Completed,0.328
PUR000052,CUST03929,CAM003941,2025-03-27,534.15,0.0,534.15,PayPal,Completed,0.252
PUR000053,CUST02906,CAM003389,2025-09-17,484.23,0.0,484.23,PayPal,Completed,0.286
PUR000054,CUST04495,CAM004698,2025-09-18,136.53,0.04,131.07,Debit Card,Completed,0.337
PUR000055,CUST02677,CAM003537,2026-03-14,398.24,0.02,390.28,PayPal,Completed,0.418
PUR000056,CUST04612,CAM000612,2024-11-12,602.24,0.09,548.04,Credit Card,Completed,0.333
PUR000057,CUST03605,CAM000625,2026-03-31,586.25,0.0,586.25,Debit Card,Completed,0.312
PUR000058,CUST02666,CAM002398,2026-01-18,322.37,0.05,306.25,Debit Card,Completed,0.286
PUR000059,CUST02373,CAM003526,2026-04-04,516.07,0.0,516.07,PayPal,Completed,0.232
PUR000060,CUST01417,CAM003611,2024-10-03,168.48,0.0,168.48,Google Pay,Completed,0.256
PUR000061,CUST01831,CAM004835,2025-12-17,509.96,0.0,509.96,Apple Pay,Completed,0.243
PUR000062,CUST03340,CAM009304,2025-10-09,489.32,0.0,489.32,Google Pay,Completed,0.25
PUR000063,CUST03690,CAM005263,2025-05-27,1387.53,0.0,1387.53,Debit Card,Completed,0.284
PUR000064,CUST00662,CAM000636,2025-10-31,759.11,0.17,630.06,Credit Card,Completed,0.352
PUR000065,CUST03980,CAM001058,2025-02-21,173.07,0.0,173.07,Google Pay,Completed,0.217
PUR000066,CUST03709,CAM005720,2025-08-18,1554.52,0.04,1492.34,Credit Card,Completed,0.358
PUR000067,CUST04548,CAM003136,2025-03-03,205.51,0.0,205.51,PayPal,Completed,0.31
PUR000068,CUST02893,CAM003530,2026-03-19,909.54,0.14,782.2,Google Pay,Completed,0.284
PUR000069,CUST00687,CAM007946,2025-01-22,698.95,0.0,698.95,PayPal,Completed,0.395
PUR000070,CUST00707,CAM002023,2024-10-30,366.11,0.13,318.52,Apple Pay,Completed,0.299
PUR000071,CUST03998,CAM001486,2025-02-09,414.2,0.0,414.2,PayPal,Completed,0.35
PUR000072,CUST04144,CAM009593,2026-03-17,594.81,0.15,505.59,PayPal,Completed,0.353
PUR000073,CUST00084,CAM008719,2025-06-24,135.23,0.0,135.23,PayPal,Completed,0.294
PUR000074,CUST00332,CAM000773,2025-10-21,376.07,0.05,357.27,Google Pay,Pending,0.33
PUR000075,CUST02953,CAM003969,2026-04-13,485.46,0.08,446.62,Debit Card,Pending,0.431
PUR000076,CUST02334,CAM004764,2025-10-26,357.09,0.0,357.09,Credit Card,Completed,0.305
PUR000077,CUST04585,CAM003606,2025-02-11,242.35,0.0,242.35,Debit Card,Completed,0.449
PUR000078,CUST02517,CAM005944,2025-09-24,754.13,0.0,754.13,Debit Card,Completed,0.294
PUR000079,CUST04193,CAM005859,2025-01-19,968.63,0.0,968.63,Apple Pay,Completed,0.284
PUR000080,CUST00361,CAM007546,2025-11-11,2834.1,0.0,2834.1,Apple Pay,Completed,0.338
PUR000081,CUST01258,CAM001942,2026-03-31,366.2,0.0,366.2,PayPal,Completed,0.225
PUR000082,CUST01205,CAM007233,2024-09-04,1718.29,0.07,1598.01,Credit Card,Completed,0.252
PUR000083,CUST00124,CAM001796,2025-10-25,1347.95,0.0,1347.95,Debit Card,Pending,0.291
PUR000084,CUST00164,CAM008304,2024-10-06,407.72,0.0,407.72,Google Pay,Completed,0.235
PUR000085,CUST04353,CAM004831,2026-08-26,4906.03,0.0,4906.03,Debit Card,Completed,0.361
PUR000086,CUST02112,CAM001306,2025-03-29,1548.03,0.0,1548.03,Apple Pay,Completed,0.217
PUR000087,CUST02034,CAM004932,2026-03-18,1722.04,0.16,1446.51,PayPal,Pending,0.301
PUR000088,CUST03862,CAM004197,2025-07-14,493.75,0.0,493.75,Debit Card,Completed,0.274
PUR000089,CUST02840,CAM004720,2025-10-24,859.67,0.07,799.49,Apple Pay,Pending,0.439
PUR000090,CUST00769,CAM006231,2026-06-28,243.15,0.0,243.15,PayPal,Completed,0.262
PUR000091,CUST04105,CAM008002,2025-12-09,362.43,0.23,279.07,Apple Pay,Completed,0.33
PUR000092,CUST00418,CAM009584,2025-01-18,117.66,0.0,117.66,Apple Pay,Completed,0.322
PUR000093,CUST01097,CAM009876,2026-02-03,5766.44,0.23,4440.16,Debit Card,Completed,0.386
PUR000094,CUST00267,CAM004516,2025-09-28,1314.18,0.0,1314.18,Credit Card,Completed,0.285
PUR000095,CUST03627,CAM000657,2025-04-20,2720.08,0.0,2720.08,Debit Card,Pending,0.304
PUR000096,CUST02315,CAM009903,2026-02-28,385.42,0.0,385.42,Credit Card,Completed,0.222
PUR000097,CUST00179,CAM004754,2026-07-06,210.41,0.08,193.58,PayPal,Completed,0.228
PUR000098,CUST01775,CAM002840,2025-06-17,202.27,0.24,153.73,Credit Card,Completed,0.446
PUR000099,CUST04427,CAM006002,2026-08-28,230.06,0.0,230.06,PayPal,Completed,0.258
PUR000100,CUST00880,CAM002173,2026-05-18,152.01,0.24,115.53,Google Pay,Cancelled,0.243
PUR000101,CUST01990,CAM007596,2025-07-31,2190.0,0.13,1905.3,Apple Pay,Pending,0.314
PUR000102,CUST01967,CAM002702,2024-11-18,732.36,0.0,732.36,Debit Card,Completed,0.265
PUR000103,CUST03619,CAM004915,2026-09-08,623.24,0.21,492.36,Apple Pay,Completed,0.427
PUR000104,CUST02865,CAM006627,2026-01-12,270.68,0.0,270.68,PayPal,Pending,0.417
PUR000105,CUST03537,CAM008368,2025-04-30,1091.85,0.0,1091.85,Apple Pay,Cancelled,0.316
PUR000106,CUST04399,CAM000055,2025-03-26,7766.58,0.0,7766.58,Credit Card,Completed,0.354
PUR000107,CUST04913,CAM006316,2025-01-07,970.45,0.19,786.06,Debit Card,Pending,0.298
PUR000108,CUST00897,CAM007550,2025-03-08,1275.15,0.0,1275.15,Apple Pay,Completed,0.318
PUR000109,CUST00279,CAM000746,2024-10-17,835.2,0.02,818.5,Debit Card,Completed,0.393
PUR000110,CUST03414,CAM004430,2025-05-03,457.64,0.0,457.64,Credit Card,Completed,0.364
PUR000111,CUST01366,CAM009515,2026-07-10,955.2,0.0,955.2,Apple Pay,Completed,0.278
PUR000112,CUST01601,CAM007255,2025-10-14,962.44,0.0,962.44,Debit Card,Cancelled,0.246
PUR000113,CUST04353,CAM007781,2025-05-27,865.36,0.01,856.71,Google Pay,Completed,0.316
PUR000114,CUST00004,CAM005975,2024-11-05,1576.45,0.16,1324.22,Apple Pay,Completed,0.314
PUR000115,CUST00055,CAM000723,2026-03-10,289.44,0.17,240.24,Google Pay,Refunded,0.381
PUR000116,CUST03747,CAM001447,2024-09-25,180.88,0.0,180.88,PayPal,Completed,0.202
PUR000117,CUST01631,CAM005142,2025-02-17,606.67,0.1,546.0,Google Pay,Completed,0.373
PUR000118,CUST04118,CAM000410,2025-03-31,346.01,0.0,346.01,Debit Card,Completed,0.418
PUR000119,CUST03568,CAM008024,2025-03-14,616.51,0.0,616.51,Debit Card,Completed,0.241
PUR000120,CUST02194,CAM007259,2025-07-13,620.27,0.0,620.27,Google Pay,Completed,0.246
PUR000121,CUST03956,CAM006590,2026-05-04,1508.85,0.25,1131.64,Debit Card,Completed,0.301
PUR000122,CUST01094,CAM004158,2024-12-01,739.39,0.0,739.39,PayPal,Completed,0.286
PUR000123,CUST01866,CAM009876,2026-01-20,1265.71,0.0,1265.71,Apple Pay,Refunded,0.305
PUR000124,CUST01384,CAM005914,2026-01-12,712.04,0.0,712.04,Credit Card,Completed,0.301
PUR000125,CUST03008,CAM006324,2025-06-06,66.3,0.11,59.01,Apple Pay,Completed,0.329
PUR000126,CUST01796,CAM005919,2025-04-17,492.39,0.16,413.61,PayPal,Completed,0.299
PUR000127,CUST01174,CAM002322,2025-10-31,238.81,0.0,238.81,Apple Pay,Completed,0.262
PUR000128,CUST03082,CAM007077,2025-04-16,680.88,0.0,680.88,Debit Card,Pending,0.34
PUR000129,CUST02708,CAM000339,2025-02-12,544.07,0.16,457.02,Debit Card,Refunded,0.279
PUR000130,CUST02542,CAM000414,2026-03-10,823.69,0.0,823.69,Debit Card,Completed,0.231
PUR000131,CUST00653,CAM001424,2026-04-26,309.77,0.18,254.01,Debit Card,Pending,0.244
PUR000132,CUST03460,CAM008378,2025-09-11,1351.45,0.0,1351.45,Apple Pay,Completed,0.399
PUR000133,CUST04601,CAM006000,2026-09-04,1133.76,0.0,1133.76,PayPal,Cancelled,0.212
PUR000134,CUST04892,CAM004045,2026-06-30,1132.35,0.0,1132.35,PayPal,Completed,0.431
PUR000135,CUST02190,CAM009023,2025-10-20,685.5,0.07,637.52,Credit Card,Completed,0.292
PUR000136,CUST01990,CAM006962,2026-07-28,589.85,0.02,578.05,Credit Card,Completed,0.39
PUR000137,CUST02508,CAM005392,2025-06-10,500.43,0.12,440.38,Apple Pay,Pending,0.38
PUR000138,CUST04784,CAM000184,2025-01-10,133.27,0.0,133.27,Credit Card,Completed,0.249
PUR000139,CUST00830,CAM006170,2026-06-22,816.24,0.0,816.24,Debit Card,Completed,0.379
PUR000140,CUST01362,CAM004110,2025-03-11,447.15,0.13,389.02,Credit Card,Completed,0.246
PUR000141,CUST04598,CAM004220,2026-01-21,439.04,0.0,439.04,Apple Pay,Pending,0.257
PUR000142,CUST01046,CAM006106,2026-05-21,452.52,0.0,452.52,PayPal,Pending,0.368
PUR000143,CUST04059,CAM007686,2024-11-13,182.01,0.22,141.97,Credit Card,Completed,0.206
PUR000144,CUST03203,CAM006066,2024-10-28,953.5,0.0,953.5,Credit Card,Completed,0.369
PUR000145,CUST02214,CAM004429,2026-08-15,340.9,0.0,340.9,Credit Card,Completed,0.424
PUR000146,CUST00954,CAM003207,2025-12-10,1810.62,0.2,1448.5,PayPal,Completed,0.348
PUR000147,CUST03400,CAM002285,2024-11-01,188.2,0.0,188.2,Debit Card,Completed,0.341
PUR000148,CUST04797,CAM001738,2025-10-08,210.52,0.11,187.36,Credit Card,Completed,0.445
PUR000149,CUST02381,CAM003802,2026-08-17,95.57,0.17,79.32,PayPal,Completed,0.389
PUR000150,CUST00630,CAM008255,2025-03-09,1352.12,0.23,1041.13,Debit Card,Pending,0.27
PUR000151,CUST04718,CAM008731,2026-04-20,187.61,0.0,187.61,Credit Card,Refunded,0.229
PUR000152,CUST04098,CAM003782,2025-04-04,2353.1,0.02,2306.04,Credit Card,Completed,0.256
PUR000153,CUST04794,CAM005705,2025-11-25,668.28,0.15,568.04,PayPal,Completed,0.244
PUR000154,CUST02518,CAM003965,2025-08-17,2260.27,0.03,2192.46,Credit Card,Completed,0.231
PUR000155,CUST02971,CAM009372,2025-02-22,260.43,0.0,260.43,PayPal,Completed,0.215
PUR000156,CUST03915,CAM004560,2025-01-21,643.3,0.03,624.0,PayPal,Completed,0.358
PUR000157,CUST01134,CAM002305,2026-02-01,480.68,0.0,480.68,Credit Card,Pending,0.312
PUR000158,CUST00968,CAM003652,2025-02-15,482.22,0.1,434.0,Debit Card,Completed,0.346
PUR000159,CUST03404,CAM001878,2025-08-19,1777.06,0.02,1741.52,Debit Card,Completed,0.362
PUR000160,CUST02504,CAM002631,2025-11-22,675.45,0.0,675.45,Debit Card,Completed,0.423
PUR000161,CUST04782,CAM007885,2025-06-06,115.0,0.21,90.85,Debit Card,Completed,0.365
PUR000162,CUST04485,CAM006367,2026-03-15,751.15,0.18,615.94,Debit Card,Completed,0.21
PUR000163,CUST03734,CAM006594,2026-02-17,237.1,0.0,237.1,Debit Card,Completed,0.365
PUR000164,CUST00924,CAM001726,2026-01-12,1669.54,0.02,1636.15,Apple Pay,Completed,0.257
PUR000165,CUST04886,CAM006679,2024-12-29,1706.4,0.0,1706.4,Apple Pay,Completed,0.445
PUR000166,CUST03009,CAM005808,2025-11-29,342.88,0.08,315.45,PayPal,Completed,0.294
PUR000167,CUST02759,CAM003865,2026-04-08,1978.69,0.0,1978.69,PayPal,Completed,0.404
PUR000168,CUST04312,CAM008457,2026-07-04,270.97,0.0,270.97,PayPal,Completed,0.245
PUR000169,CUST00262,CAM003176,2025-01-30,327.68,0.0,327.68,Credit Card,Completed,0.404
PUR000170,CUST01054,CAM005020,2026-04-29,242.82,0.0,242.82,Credit Card,Completed,0.223
PUR000171,CUST02891,CAM008769,2024-10-26,2695.99,0.0,2695.99,Google Pay,Completed,0.3
PUR000172,CUST04011,CAM002020,2025-05-02,528.84,0.2,423.07,Credit Card,Completed,0.209
PUR000173,CUST03733,CAM002007,2024-12-18,1143.22,0.08,1051.76,Debit Card,Completed,0.296
PUR000174,CUST03210,CAM007821,2025-04-13,162.6,0.04,156.1,PayPal,Completed,0.399
PUR000175,CUST00452,CAM005867,2026-07-12,230.98,0.0,230.98,Credit Card,Completed,0.35
PUR000176,CUST03010,CAM000230,2025-07-26,251.4,0.0,251.4,Apple Pay,Completed,0.397
PUR000177,CUST02591,CAM004374,2025-12-01,392.71,0.06,369.15,Google Pay,Refunded,0.361
PUR000178,CUST02109,CAM006361,2025-08-05,110.12,0.0,110.12,PayPal,Cancelled,0.251
PUR000179,CUST02836,CAM009801,2025-04-14,333.67,0.0,333.67,Debit Card,Completed,0.435
PUR000180,CUST01286,CAM004270,2025-02-18,2475.37,0.0,2475.37,PayPal,Completed,0.212
PUR000181,CUST04528,CAM009106,2025-09-25,1169.36,0.0,1169.36,Google Pay,Completed,0.214
PUR000182,CUST01407,CAM002591,2024-12-08,204.05,0.19,165.28,Apple Pay,Completed,0.239
PUR000183,CUST04273,CAM000465,2024-09-29,332.64,0.19,269.44,Apple Pay,Completed,0.366
PUR000184,CUST04825,CAM005574,2026-04-20,1621.76,0.0,1621.76,Google Pay,Completed,0.381
PUR000185,CUST00952,CAM003355,2025-02-20,156.98,0.17,130.29,Debit Card,Completed,0.415
PUR000186,CUST03616,CAM000681,2024-11-11,1708.6,0.0,1708.6,Debit Card,Completed,0.366
PUR000187,CUST01068,CAM000970,2026-09-13,1332.63,0.0,1332.63,Apple Pay,Completed,0.213
PUR000188,CUST03940,CAM001996,2025-10-21,757.12,0.0,757.12,Credit Card,Completed,0.24
PUR000189,CUST01267,CAM009475,2025-12-18,302.91,0.0,302.91,Google Pay,Completed,0.324
PUR000190,CUST00511,CAM006571,2025-11-25,1070.62,0.0,1070.62,Credit Card,Completed,0.289
PUR000191,CUST03793,CAM002735,2025-01-25,198.58,0.0,198.58,Credit Card,Completed,0.398
PUR000192,CUST01579,CAM008568,2024-11-18,1300.3,0.0,1300.3,Apple Pay,Completed,0.4
PUR000193,CUST04846,CAM008566,2026-04-02,178.08,0.0,178.08,Google Pay,Completed,0.359
PUR000194,CUST00828,CAM008820,2025-10-15,849.93,0.0,849.93,Credit Card,Completed,0.443
PUR000195,CUST01685,CAM002936,2025-04-09,1122.81,0.0,1122.81,Debit Card,Completed,0.407
PUR000196,CUST01677,CAM001724,2025-06-10,663.16,0.04,636.63,PayPal,Completed,0.353
PUR000197,CUST02179,CAM005752,2025-05-09,1713.86,0.18,1405.37,Debit Card,Completed,0.217
PUR000198,CUST00871,CAM008553,2026-05-20,833.74,0.0,833.74,Apple Pay,Completed,0.29
PUR000199,CUST00329,CAM007649,2025-07-23,1287.94,0.2,1030.35,PayPal,Completed,0.427
PUR000200,CUST03353,CAM005577,2026-07-08,287.85,0.0,287.85,Credit Card,Completed,0.401
PUR000201,CUST02399,CAM000181,2026-07-01,448.35,0.18,367.65,Google Pay,Completed,0.401
PUR000202,CUST00084,CAM009631,2026-03-20,202.79,0.22,158.18,Credit Card,Completed,0.217
PUR000203,CUST01308,CAM000461,2025-09-02,151.66,0.06,142.56,PayPal,Completed,0.426
PUR000204,CUST04268,CAM006681,2026-07-30,1089.81,0.06,1024.42,Credit Card,Completed,0.267
PUR000205,CUST03953,CAM005708,2025-03-30,256.6,0.0,256.6,Google Pay,Completed,0.407
PUR000206,CUST04399,CAM005691,2025-06-11,79.76,0.0,79.76,Debit Card,Completed,0.243
PUR000207,CUST04746,CAM004424,2026-06-13,585.91,0.06,550.76,Debit Card,Completed,0.438
PUR000208,CUST03002,CAM007446,2025-08-19,2209.97,0.09,2011.07,PayPal,Refunded,0.26
PUR000209,CUST02351,CAM004473,2026-01-22,897.14,0.0,897.14,Credit Card,Completed,0.201
PUR000210,CUST00035,CAM002164,2024-12-29,1738.27,0.23,1338.47,Apple Pay,Completed,0.405
PUR000211,CUST02660,CAM008799,2025-10-30,2116.48,0.0,2116.48,Debit Card,Completed,0.303
PUR000212,CUST04547,CAM007151,2025-01-28,228.11,0.0,228.11,PayPal,Pending,0.201
PUR000213,CUST03588,CAM008293,2025-04-25,821.57,0.0,821.57,Credit Card,Completed,0.388
PUR000214,CUST00343,CAM000801,2025-02-25,817.32,0.0,817.32,Apple Pay,Completed,0.326
PUR000215,CUST00684,CAM001151,2024-12-01,454.46,0.0,454.46,Credit Card,Completed,0.236
PUR000216,CUST00055,CAM004197,2025-08-21,406.51,0.03,394.31,Credit Card,Completed,0.404
PUR000217,CUST00323,CAM003853,2026-01-26,576.25,0.0,576.25,Apple Pay,Completed,0.4
PUR000218,CUST04122,CAM008572,2025-06-24,988.88,0.15,840.55,Debit Card,Completed,0.328
PUR000219,CUST00826,CAM006460,2026-07-30,976.6,0.1,878.94,Debit Card,Completed,0.369
PUR000220,CUST03027,CAM003622,2025-07-26,976.16,0.0,976.16,Debit Card,Cancelled,0.296
PUR000221,CUST00187,CAM000305,2026-05-20,398.55,0.0,398.55,Credit Card,Pending,0.293
PUR000222,CUST01885,CAM004698,2025-09-07,1047.65,0.0,1047.65,Debit Card,Completed,0.335
PUR000223,CUST00766,CAM005507,2026-03-24,708.73,0.0,708.73,Apple Pay,Completed,0.244
PUR000224,CUST02543,CAM006777,2025-08-18,826.23,0.15,702.3,Debit Card,Completed,0.322
PUR000225,CUST02020,CAM009935,2025-09-30,1447.53,0.1,1302.78,Apple Pay,Completed,0.427
PUR000226,CUST00652,CAM005920,2024-11-30,948.34,0.0,948.34,Apple Pay,Completed,0.419
PUR000227,CUST04726,CAM001474,2025-01-03,1572.27,0.0,1572.27,Debit Card,Completed,0.341
PUR000228,CUST02208,CAM006053,2025-06-30,342.98,0.0,342.98,Debit Card,Pending,0.391
PUR000229,CUST02877,CAM009568,2024-10-18,506.13,0.0,506.13,Apple Pay,Completed,0.421
PUR000230,CUST02246,CAM005065,2025-03-05,548.17,0.0,548.17,Credit Card,Pending,0.332
PUR000231,CUST03159,CAM006446,2025-07-27,666.26,0.0,666.26,Google Pay,Completed,0.407
PUR000232,CUST01469,CAM000139,2025-06-02,461.24,0.19,373.6,Apple Pay,Pending,0.421
PUR000233,CUST03494,CAM001035,2026-05-31,1134.53,0.0,1134.53,Credit Card,Completed,0.228
PUR000234,CUST04052,CAM009487,2025-03-20,67.6,0.0,67.6,Debit Card,Completed,0.378
PUR000235,CUST03333,CAM002085,2026-04-28,248.86,0.07,231.44,Debit Card,Completed,0.257
PUR000236,CUST03198,CAM009795,2025-12-16,180.13,0.22,140.5,Apple Pay,Completed,0.405
PUR000237,CUST02785,CAM006372,2026-07-15,36.08,0.07,33.55,Debit Card,Completed,0.394
PUR000238,CUST01354,CAM004924,2025-11-20,550.42,0.0,550.42,Credit Card,Completed,0.396
PUR000239,CUST03574,CAM005924,2025-06-13,348.93,0.24,265.19,Google Pay,Pending,0.232
PUR000240,CUST02833,CAM008667,2024-11-25,1027.36,0.0,1027.36,Debit Card,Cancelled,0.222
PUR000241,CUST03435,CAM004894,2026-01-02,1185.51,0.04,1138.09,Apple Pay,Completed,0.27
PUR000242,CUST00639,CAM006765,2026-01-19,513.0,0.0,513.0,Credit Card,Completed,0.292
PUR000243,CUST00254,CAM007696,2025-06-04,314.91,0.16,264.52,PayPal,Completed,0.399
PUR000244,CUST03771,CAM000359,2025-01-02,440.08,0.0,440.08,Apple Pay,Completed,0.292
PUR000245,CUST00279,CAM001107,2026-03-04,2434.64,0.0,2434.64,Debit Card,Completed,0.301
PUR000246,CUST02659,CAM005941,2026-06-02,715.74,0.0,715.74,Debit Card,Completed,0.255
PUR000247,CUST00649,CAM008568,2024-11-11,915.93,0.11,815.18,Debit Card,Completed,0.256
PUR000248,CUST03203,CAM005682,2026-02-13,651.61,0.0,651.61,Apple Pay,Completed,0.273
PUR000249,CUST01023,CAM001508,2024-11-29,1105.54,0.0,1105.54,PayPal,Completed,0.214
PUR000250,CUST04797,CAM009433,2024-12-19,653.89,0.0,653.89,Apple Pay,Completed,0.381
PUR000251,CUST03097,CAM008967,2025-06-29,267.12,0.0,267.12,PayPal,Completed,0.369
PUR000252,CUST01289,CAM003426,2024-12-13,285.19,0.0,285.19,PayPal,Completed,0.433
PUR000253,CUST02496,CAM002280,2026-01-19,152.54,0.24,115.93,Credit Card,Completed,0.402
PUR000254,CUST02303,CAM005433,2024-11-16,282.03,0.21,222.8,Google Pay,Completed,0.298
PUR000255,CUST03296,CAM001079,2024-10-15,560.7,0.0,560.7,Credit Card,Completed,0.348
PUR000256,CUST00352,CAM006221,2025-10-18,1015.33,0.0,1015.33,Debit Card,Cancelled,0.442
PUR000257,CUST01975,CAM008538,2026-01-14,546.82,0.0,546.82,PayPal,Completed,0.325
PUR000258,CUST00057,CAM000092,2025-08-09,461.12,0.0,461.12,Apple Pay,Completed,0.261
PUR000259,CUST02023,CAM008952,2024-11-11,2502.04,0.0,2502.04,PayPal,Refunded,0.438
PUR000260,CUST02891,CAM003548,2025-06-26,305.73,0.0,305.73,Credit Card,Refunded,0.225
PUR000261,CUST02536,CAM002176,2025-05-22,146.83,0.0,146.83,PayPal,Completed,0.307
PUR000262,CUST01629,CAM008393,2025-12-01,1791.4,0.0,1791.4,Apple Pay,Completed,0.324
PUR000263,CUST01012,CAM005900,2025-10-02,270.67,0.02,265.26,Credit Card,Pending,0.315
PUR000264,CUST00461,CAM008263,2026-07-23,505.83,0.21,399.61,Apple Pay,Completed,0.271
PUR000265,CUST02128,CAM000376,2026-02-17,652.01,0.24,495.53,Credit Card,Completed,0.309
PUR000266,CUST04418,CAM000519,2024-10-29,53.16,0.0,53.16,Apple Pay,Completed,0.276
PUR000267,CUST01624,CAM007141,2025-05-05,468.25,0.0,468.25,Credit Card,Completed,0.336
PUR000268,CUST00744,CAM003783,2026-08-05,405.8,0.0,405.8,Credit Card,Completed,0.274
