CustomerID,Age,Gender,Education,IncomeLevel,Region,DeviceType,CustomerSegment,AcquisitionChannel,CustomerTenureDays,CustomerLifetimeValue,LoyaltyScore,TotalPurchases
CUST00053,43,Female,Associate,Medium-High,North America,Mobile,Platinum,Referral,323,31113.45,75.6,15
CUST00054,43,Female,Associate,Low,Latin America,Mobile,Bronze,Organic Search,369,10246.86,47.2,1
CUST00055,40,Male,Bachelor,Medium,Europe,Desktop,Gold,Display Ads,121,10570.21,71.7,5
CUST00056,47,Male,Associate,Low,Latin America,Desktop,Silver,Paid Search,38,5797.41,94.2,3
CUST00057,49,Female,Master,Medium,Asia-Pacific,Desktop,Platinum,Referral,1095,23500.37,96.1,17
CUST00058,45,Non-binary,PhD,Medium,Europe,Desktop,Platinum,Referral,51,22085.73,35.4,13
CUST00059,37,Male,Bachelor,Medium-High,Asia-Pacific,Mobile,Bronze,Paid Search,9,5905.79,90.9,0
CUST00060,35,Male,Bachelor,Medium-High,Latin America,Tablet,Gold,Direct,109,52949.05,37.7,4
CUST00061,39,Male,Bachelor,Low,Asia-Pacific,Mobile,Platinum,Display Ads,251,56025.16,72.9,12
CUST00062,30,Male,Master,Medium,Europe,Mobile,Bronze,Display Ads,567,2646.04,78.7,1
CUST00063,26,Female,Bachelor,Medium-Low,Europe,Mobile,Bronze,Referral,1095,2611.7,90.3,3
CUST00064,41,Female,High School,Medium,North America,Desktop,Silver,Social Media,358,2236.0,87.7,6
CUST00065,37,Female,Master,Medium-High,Asia-Pacific,Desktop,Platinum,Paid Search,821,21099.79,32.0,15
CUST00066,41,Female,Bachelor,Medium,North America,Mobile,Gold,Paid Search,402,11218.49,67.8,8
CUST00067,43,Male,Associate,High,Asia-Pacific,Mobile,Gold,Email,820,29709.59,98.1,5
CUST00068,40,Male,Associate,Medium,Middle East,Mobile,Silver,Email,99,16573.94,35.8,4
CUST00069,48,Male,Bachelor,Medium,Europe,Mobile,Platinum,Display Ads,95,53437.29,32.2,12
CUST00070,41,Female,Master,Medium-High,Asia-Pacific,Desktop,Gold,Social Media,636,25183.32,63.7,4
CUST00071,38,Female,Associate,Medium,Asia-Pacific,Mobile,Bronze,Email,137,2178.36,78.6,2
CUST00072,33,Female,Master,Medium,Europe,Mobile,Bronze,Organic Search,13,1676.21,35.5,1
CUST00073,34,Female,Associate,Medium,North America,Mobile,Gold,Paid Search,500,53870.73,86.1,10
CUST00074,27,Female,Bachelor,Low,Europe,Desktop,Bronze,Paid Search,456,2494.61,35.1,0
CUST00075,39,Female,Master,Medium-Low,Asia-Pacific,Mobile,Silver,Organic Search,266,2843.41,91.1,5
CUST00076,35,Female,PhD,Medium,North America,Mobile,Gold,Display Ads,113,23455.57,91.0,7
CUST00077,43,Female,High School,Medium-High,Middle East,Mobile,Silver,Social Media,225,1176.17,47.4,3
CUST00078,34,Female,Master,Low,Europe,Desktop,Silver,Social Media,303,24526.75,95.6,1
CUST00079,42,Male,Bachelor,Medium,North America,Mobile,Platinum,Display Ads,242,37162.25,66.1,11
CUST00080,40,Male,Master,Medium-Low,Middle East,Mobile,Bronze,Paid Search,471,1881.68,88.7,5
CUST00081,44,Female,Master,Low,North America,Desktop,Platinum,Organic Search,1095,18588.39,33.4,15
CUST00082,37,Male,Master,Medium,Latin America,Desktop,Gold,Direct,314,32179.79,30.4,7
CUST00083,34,Female,Master,Medium-Low,Asia-Pacific,Mobile,Bronze,Organic Search,10,5339.69,53.9,2
CUST00084,40,Female,PhD,Medium,North America,Mobile,Silver,Social Media,1047,10845.15,34.2,3
CUST00085,36,Male,Master,Medium-Low,Europe,Mobile,Bronze,Paid Search,51,2330.85,42.7,1
CUST00086,39,Male,PhD,Medium,Europe,Desktop,Gold,Email,368,9549.88,87.3,8
CUST00087,36,Female,Bachelor,Medium-High,Asia-Pacific,Mobile,Silver,Paid Search,534,22010.54,90.4,2
CUST00088,26,Male,Bachelor,Medium,Europe,Tablet,Silver,Social Media,505,7503.58,78.5,2
CUST00089,27,Male,High School,Medium-High,North America,Desktop,Gold,Social Media,28,6921.06,66.3,7
CUST00090,49,Male,High School,Medium,Europe,Tablet,Gold,Social Media,40,24502.74,61.5,11
CUST00091,30,Male,Master,Medium,North America,Desktop,Gold,Direct,36,6924.01,95.6,10
CUST00092,31,Female,Master,High,Latin America,Desktop,Bronze,Organic Search,474,7324.82,54.2,3
CUST00093,40,Male,Bachelor,Medium-High,Asia-Pacific,Mobile,Platinum,Email,28,13202.07,31.8,10
CUST00094,37,Male,Bachelor,Medium,Asia-Pacific,Mobile,Silver,Social Media,1095,3883.66,34.0,4
CUST00095,33,Female,High School,Medium,Europe,Tablet,Bronze,Direct,299,1380.71,59.8,0
CUST00096,35,Male,Master,Medium-High,Asia-Pacific,Desktop,Gold,Social Media,120,6809.11,83.2,3
CUST00097,42,Female,PhD,Medium-Low,Europe,Mobile,Platinum,Email,267,63419.62,40.5,9
CUST00098,30,Female,Master,Medium,Middle East,Desktop,Silver,Organic Search,735,697.93,32.7,7
CUST00099,31,Female,Bachelor,Medium,Asia-Pacific,Mobile,Bronze,Social Media,4,3438.32,97.0,2
CUST00100,32,Male,High School,Medium,Asia-Pacific,Desktop,Gold,Organic Search,391,29811.81,56.7,6
CUST00101,38,Male,PhD,High,Asia-Pacific,Desktop,Platinum,Direct,165,52465.65,95.0,8
CUST00102,39,Male,High School,Medium,North America,Desktop,Silver,Paid Search,749,9010.97,94.3,7
CUST00103,44,Female,High School,Medium,North America,Mobile,Platinum,Direct,734,23562.6,81.3,11
CUST00104,44,Female,Bachelor,Medium,Asia-Pacific,Mobile,Bronze,Email,1095,7292.61,36.9,2
CUST00105,33,Female,Associate,Medium,Europe,Desktop,Gold,Email,145,4671.69,91.4,9
CUST00106,32,Female,High School,Medium,Europe,Desktop,Silver,Email,125,35827.39,87.8,2
CUST00107,42,Female,Master,Medium,Europe,Mobile,Gold,Social Media,99,8085.35,71.9,11
CUST00108,25,Male,High School,Medium,Latin America,Mobile,Bronze,Email,737,2001.08,43.0,3
CUST00109,34,Female,Bachelor,Low,Asia-Pacific,Desktop,Silver,Social Media,427,3782.91,97.0,1
CUST00110,36,Male,Associate,Medium-Low,Asia-Pacific,Mobile,Bronze,Direct,25,3432.6,93.5,1
CUST00111,35,Female,High School,Medium,Asia-Pacific,Tablet,Silver,Email,1095,1943.73,48.0,6
CUST00112,29,Female,Bachelor,Medium-Low,Europe,Mobile,Bronze,Referral,313,2422.18,35.7,2
CUST00113,40,Female,Bachelor,High,Europe,Desktop,Platinum,Email,245,28763.42,33.6,14
CUST00114,40,Female,Associate,Medium-Low,Latin America,Desktop,Bronze,Referral,591,2561.2,31.9,0
CUST00115,42,Female,Bachelor,Medium,North America,Desktop,Platinum,Referral,91,63312.4,66.6,9
CUST00116,36,Female,Bachelor,Medium,North America,Desktop,Gold,Direct,81,37164.29,92.6,7
CUST00117,36,Non-binary,Master,High,Asia-Pacific,Mobile,Gold,Referral,328,6834.95,66.9,9
CUST00118,26,Female,Master,Medium,North America,Mobile,Gold,Paid Search,61,11260.7,54.4,11
CUST00119,31,Male,Master,Medium-High,North America,Desktop,Bronze,Organic Search,145,11380.47,44.9,0
CUST00120,43,Female,Associate,Medium,Latin America,Desktop,Gold,Email,799,21498.31,68.3,4
CUST00121,29,Male,Master,Medium-High,North America,Tablet,Platinum,Direct,824,50666.62,37.9,13
CUST00122,33,Male,Bachelor,Low,North America,Mobile,Bronze,Direct,891,4037.0,43.0,0
CUST00123,49,Male,Bachelor,Medium-Low,Middle East,Desktop,Gold,Email,961,9299.81,76.8,12
CUST00124,39,Male,Bachelor,Medium,Europe,Desktop,Gold,Display Ads,402,4740.16,35.0,4
CUST00125,53,Male,Bachelor,Medium-Low,North America,Desktop,Platinum,Organic Search,3,26871.58,45.3,9
CUST00126,38,Male,High School,Medium,Asia-Pacific,Mobile,Silver,Organic Search,484,6863.0,99.5,2
CUST00127,42,Female,Master,Medium,Asia-Pacific,Mobile,Silver,Referral,48,7836.14,56.9,3
CUST00128,32,Female,Master,Medium-High,Asia-Pacific,Mobile,Bronze,Email,379,2988.86,91.2,1
CUST00129,35,Female,High School,High,North America,Mobile,Bronze,Organic Search,52,16703.39,69.1,4
CUST00130,33,Female,Bachelor,Medium,Asia-Pacific,Desktop,Gold,Referral,349,5894.19,56.0,8
CUST00131,29,Female,Bachelor,Medium-Low,North America,Mobile,Bronze,Organic Search,181,7111.38,45.3,3
CUST00132,37,Male,High School,Medium,North America,Mobile,Bronze,Social Media,136,4186.55,93.0,0
CUST00133,45,Female,Bachelor,High,Latin America,Tablet,Silver,Organic Search,166,7748.38,67.9,5
CUST00134,26,Non-binary,Bachelor,Medium,North America,Desktop,Bronze,Social Media,205,2184.69,99.6,4
CUST00135,48,Male,Bachelor,Medium,North America,Tablet,Bronze,Referral,56,6733.6,85.3,0
CUST00136,35,Non-binary,Bachelor,Medium-High,Latin America,Desktop,Silver,Organic Search,195,3401.56,65.8,9
CUST00137,34,Male,Master,Medium-Low,Latin America,Mobile,Gold,Referral,1043,17093.74,31.3,8
CUST00138,48,Male,High School,Medium-Low,Asia-Pacific,Desktop,Platinum,Direct,429,49602.38,83.6,15
CUST00139,40,Male,Bachelor,Low,Europe,Mobile,Silver,Organic Search,30,8211.97,96.9,2
CUST00140,37,Male,Bachelor,Medium,North America,Mobile,Gold,Organic Search,946,18797.46,52.5,9
CUST00141,40,Female,High School,Medium,Asia-Pacific,Mobile,Silver,Paid Search,293,11441.79,40.0,4
CUST00142,29,Male,Bachelor,Medium,North America,Mobile,Bronze,Paid Search,152,9667.7,37.1,1
CUST00143,30,Female,Master,Medium-High,Europe,Tablet,Silver,Organic Search,400,10039.35,79.3,0
CUST00144,37,Female,PhD,Medium-Low,Asia-Pacific,Mobile,Silver,Social Media,178,7648.43,97.0,4
CUST00145,34,Female,Bachelor,Medium,Latin America,Desktop,Bronze,Social Media,97,4567.41,77.4,2
CUST00146,49,Male,Master,Medium-High,North America,Desktop,Platinum,Organic Search,721,8001.73,31.0,10
CUST00147,34,Male,Bachelor,Low,Europe,Mobile,Bronze,Email,292,4111.51,77.4,3
CUST00148,32,Male,High School,High,North America,Desktop,Bronze,Email,1095,5711.45,89.3,0
CUST00149,34,Female,Bachelor,Medium-High,Europe,Mobile,Platinum,Social Media,550,16149.0,63.2,20
CUST00150,31,Female,Master,Medium,Europe,Mobile,Bronze,Direct,120,4390.38,54.2,2
CUST00151,36,Male,High School,Medium-High,North America,Desktop,Platinum,Organic Search,455,8364.13,35.3,9
CUST00152,32,Male,Bachelor,Medium,North America,Mobile,Silver,Referral,110,7880.22,97.2,7
CUST00153,36,Female,PhD,Medium,North America,Desktop,Bronze,Referral,70,5728.35,63.4,2
CUST00154,44,Female,High School,Medium-High,North America,Mobile,Silver,Display Ads,155,8157.35,89.4,3
CUST00155,42,Male,Associate,Medium,Europe,Tablet,Gold,Display Ads,1002,4816.6,96.6,8
CUST00156,24,Male,High School,High,North America,Desktop,Bronze,Organic Search,347,3516.09,66.2,2
CUST00157,54,Female,Bachelor,Medium-High,Asia-Pacific,Mobile,Platinum,Email,161,33822.92,89.9,8
CUST00158,27,Female,Master,Low,North America,Desktop,Platinum,Direct,221,27650.0,32.6,11
CUST00159,37,Male,Associate,High,North America,Mobile,Silver,Direct,219,18313.66,51.2,4
CUST00160,51,Female,High School,High,Europe,Desktop,Platinum,Social Media,17,7837.52,48.6,12
CUST00161,43,Male,Bachelor,Medium-High,Europe,Mobile,Platinum,Display Ads,247,50913.84,94.5,13
CUST00162,32,Male,Bachelor,Medium-High,Middle East,Desktop,Silver,Paid Search,274,12125.16,56.6,4
CUST00163,34,Female,PhD,Medium-High,Europe,Mobile,Bronze,Paid Search,21,6005.96,65.3,2
CUST00164,33,Female,Associate,Medium-High,North America,Mobile,Gold,Referral,392,13566.23,70.0,4
CUST00165,38,Male,Bachelor,Medium,Asia-Pacific,Mobile,Bronze,Direct,134,2554.23,60.3,2
CUST00166,51,Female,Associate,Medium,Europe,Desktop,Platinum,Social Media,1095,58596.42,34.7,11
CUST00167,23,Male,Master,High,Asia-Pacific,Mobile,Bronze,Organic Search,263,1135.75,48.8,3
CUST00168,33,Male,Bachelor,Low,Asia-Pacific,Desktop,Bronze,Organic Search,376,5861.45,51.9,3
CUST00169,40,Female,Master,Medium-Low,Latin America,Mobile,Bronze,Email,6,9779.19,70.8,1
CUST00170,33,Female,PhD,High,North America,Mobile,Silver,Organic Search,227,10745.14,48.1,2
CUST00171,37,Female,Associate,Medium,Asia-Pacific,Mobile,Silver,Social Media,114,10739.36,45.0,2
CUST00172,48,Male,PhD,Medium,Latin America,Desktop,Gold,Referral,383,27170.53,82.0,7
CUST00173,44,Female,Master,Medium,Europe,Desktop,Platinum,Social Media,419,26295.54,95.5,5
CUST00174,29,Female,PhD,Medium-Low,North America,Desktop,Bronze,Organic Search,69,3912.71,34.9,1
CUST00175,40,Female,High School,Medium-High,North America,Mobile,Platinum,Social Media,174,176884.78,88.0,14
CUST00176,36,Female,PhD,High,Latin America,Mobile,Platinum,Organic Search,783,8468.72,77.4,14
CUST00177,34,Female,Associate,Medium,Asia-Pacific,Mobile,Bronze,Social Media,70,9052.71,35.8,0
CUST00178,34,Male,Associate,Medium-Low,Europe,Desktop,Gold,Social Media,99,5410.71,97.2,9
CUST00179,35,Female,High School,Medium-High,Asia-Pacific,Mobile,Gold,Organic Search,198,21358.21,92.7,3
CUST00180,49,Female,Master,Medium-High,North America,Mobile,Bronze,Direct,741,1919.1,64.0,2
CUST00181,41,Female,Bachelor,Medium-Low,North America,Mobile,Gold,Direct,839,17830.14,57.3,5
CUST00182,32,Male,Bachelor,Medium-High,North America,Mobile,Gold,Email,3,13278.57,45.2,5
CUST00183,41,Female,Master,Low,Asia-Pacific,Desktop,Silver,Email,542,8945.68,41.9,8
CUST00184,44,Male,Associate,Medium,North America,Mobile,Bronze,Social Media,83,3731.33,35.4,4
CUST00185,41,Male,PhD,Medium-Low,Asia-Pacific,Mobile,Silver,Organic Search,361,9898.85,48.5,5
CUST00186,33,Male,High School,Medium-High,Latin America,Mobile,Silver,Email,912,6192.74,92.2,7
CUST00187,49,Male,Master,Low,Latin America,Desktop,Platinum,Display Ads,178,13909.83,84.9,12
CUST00188,44,Male,Master,Medium-High,Asia-Pacific,Desktop,Silver,Paid Search,1095,14867.27,83.0,4
CUST00189,53,Male,Bachelor,High,North America,Tablet,Platinum,Display Ads,359,67619.94,33.7,10
CUST00190,47,Female,Bachelor,Medium-High,North America,Mobile,Silver,Paid Search,242,8508.5,76.7,2
CUST00191,33,Female,Master,Medium-High,Latin America,Tablet,Gold,Email,340,1356.89,49.4,5
CUST00192,39,Female,Bachelor,Medium,North America,Desktop,Bronze,Referral,649,4501.66,99.8,0
CUST00193,44,Non-binary,Bachelor,Medium-High,Latin America,Mobile,Gold,Organic Search,35,23858.65,57.0,4
CUST00194,23,Female,Bachelor,Medium-Low,North America,Mobile,Bronze,Social Media,25,3817.43,44.7,1
CUST00195,32,Male,High School,Medium,Europe,Mobile,Gold,Email,281,14757.38,40.1,6
CUST00196,44,Female,Master,Low,Asia-Pacific,Desktop,Bronze,Organic Search,86,3313.21,64.3,4
CUST00197,44,Male,Bachelor,Medium-High,Asia-Pacific,Mobile,Gold,Social Media,413,68091.98,46.1,6
CUST00198,30,Female,PhD,Medium-Low,Europe,Mobile,Bronze,Organic Search,325,6535.59,89.2,2
CUST00199,32,Female,Associate,Medium-Low,North America,Mobile,Bronze,Referral,65,7342.27,62.1,1
CUST00200,39,Female,Bachelor,Medium,Europe,Desktop,Platinum,Social Media,1095,24548.27,83.9,10
CUST00201,25,Male,Bachelor,Medium-Low,Europe,Desktop,Bronze,Referral,14,10827.68,68.6,2
CUST00202,30,Female,Associate,Low,North America,Mobile,Bronze,Direct,592,4962.63,46.6,4
CUST00203,41,Female,Master,Low,North America,Mobile,Gold,Social Media,123,20104.68,72.8,9
CUST00204,36,Male,Bachelor,Medium-High,North America,Mobile,Platinum,Referral,1055,10566.16,34.3,6
CUST00205,27,Non-binary,Bachelor,Medium,Europe,Mobile,Bronze,Email,344,10047.48,93.3,2
CUST00206,28,Male,Master,Low,Latin America,Tablet,Bronze,Organic Search,81,10410.84,53.9,2
CUST00207,35,Male,Bachelor,Medium-High,North America,Desktop,Gold,Organic Search,528,32465.06,76.1,7
CUST00208,44,Male,High School,Medium-High,Middle East,Mobile,Platinum,Social Media,43,16838.33,42.1,12
CUST00209,55,Non-binary,Associate,High,Middle East,Mobile,Platinum,Organic Search,380,31259.76,47.7,12
CUST00210,30,Male,Master,Medium-High,North America,Mobile,Platinum,Social Media,100,30183.7,56.7,10
CUST00211,42,Male,PhD,Medium,Asia-Pacific,Mobile,Platinum,Social Media,427,2383.59,98.0,12
CUST00212,35,Female,Master,Low,North America,Mobile,Bronze,Email,378,2309.65,56.1,1
CUST00213,38,Female,Bachelor,Medium,North America,Mobile,Silver,Social Media,217,9138.19,41.8,6
CUST00214,44,Female,Bachelor,Medium-High,Asia-Pacific,Mobile,Platinum,Paid Search,63,55016.94,88.3,11
CUST00215,39,Female,Associate,Medium,Latin America,Mobile,Silver,Email,16,9160.98,49.0,0
CUST00216,52,Male,Master,High,Latin America,Tablet,Platinum,Organic Search,430,19178.33,78.2,7
CUST00217,31,Female,Bachelor,Medium-Low,North America,Mobile,Bronze,Organic Search,199,5796.88,37.0,0
CUST00218,36,Male,Master,Medium-High,Middle East,Mobile,Gold,Social Media,20,11391.0,32.8,4
CUST00219,40,Male,Bachelor,Medium-High,Europe,Tablet,Silver,Email,938,12017.64,56.2,2
CUST00220,38,Female,PhD,Medium-High,North America,Mobile,Platinum,Organic Search,162,12067.84,57.6,11
CUST00221,36,Female,Associate,Medium,North America,Mobile,Gold,Organic Search,14,42426.36,57.4,8
CUST00222,39,Female,Bachelor,Medium-Low,North America,Desktop,Silver,Organic Search,1095,13396.69,40.9,9
CUST00223,34,Female,Master,Medium,North America,Tablet,Silver,Paid Search,6,10949.48,87.3,3
CUST00224,39,Male,High School,Medium-Low,Middle East,Desktop,Silver,Referral,369,6735.61,77.8,4
CUST00225,46,Female,Master,Medium-High,North America,Mobile,Silver,Social Media,529,15727.78,53.9,4
CUST00226,34,Male,Bachelor,Low,North America,Mobile,Bronze,Paid Search,277,4565.1,34.9,0
CUST00227,47,Female,Bachelor,Medium,North America,Desktop,Silver,Organic Search,628,23692.7,77.3,3
CUST00228,41,Female,High School,Medium-Low,Asia-Pacific,Mobile,Bronze,Paid Search,39,8841.25,88.2,2
CUST00229,36,Female,High School,Medium,North America,Desktop,Gold,Organic Search,333,37591.47,66.0,6
CUST00230,42,Female,PhD,Medium,Europe,Desktop,Bronze,Organic Search,458,463.82,52.1,0
CUST00231,28,Female,Master,Medium,Asia-Pacific,Desktop,Bronze,Referral,82,11860.34,31.8,1
CUST00232,37,Non-binary,High School,Medium,Europe,Desktop,Gold,Email,106,18370.38,74.6,5
CUST00233,56,Female,Bachelor,Medium,Asia-Pacific,Mobile,Platinum,Paid Search,325,10193.24,55.1,16
CUST00234,38,Male,Master,Medium,Europe,Desktop,Bronze,Email,1095,8307.75,56.4,0
CUST00235,30,Male,Bachelor,Medium,Middle East,Mobile,Silver,Organic Search,214,3708.63,57.1,3
CUST00236,45,Male,Bachelor,Medium-High,Asia-Pacific,Desktop,Platinum,Organic Search,71,33114.97,81.4,8
CUST00237,30,Female,Bachelor,Medium,North America,Desktop,Silver,Email,201,7526.22,50.7,2
CUST00238,41,Male,Bachelor,Medium,Asia-Pacific,Desktop,Bronze,Direct,16,5802.84,58.4,4
CUST00239,38,Male,PhD,Medium-High,North America,Desktop,Platinum,Organic Search,191,23866.06,33.8,10
CUST00240,36,Female,Bachelor,Medium,Asia-Pacific,Desktop,Bronze,Referral,213,6096.86,97.1,2
CUST00241,44,Male,High School,Medium,Asia-Pacific,Desktop,Silver,Email,233,10193.01,41.4,2
CUST00242,18,Male,Master,Low,North America,Mobile,Bronze,Social Media,841,17567.84,69.1,1
CUST00243,45,Male,Bachelor,Low,Asia-Pacific,Mobile,Bronze,Display Ads,74,3449.28,38.9,0
CUST00244,35,Male,Bachelor,Medium,Europe,Mobile,Bronze,Social Media,269,4002.92,59.1,0
CUST00245,44,Male,PhD,Medium,Europe,Desktop,Bronze,Organic Search,78,1275.84,85.8,4
CUST00246,37,Female,Associate,Medium-Low,Europe,Mobile,Bronze,Display Ads,525,3096.44,59.4,4
CUST00247,40,Male,Bachelor,Medium-High,Europe,Mobile,Bronze,Display Ads,57,4959.21,41.1,5
CUST00248,28,Female,Bachelor,Medium-High,North America,Mobile,Gold,Email,10,8913.29,54.8,10
CUST00249,31,Female,Associate,Medium,North America,Mobile,Silver,Organic Search,255,11928.64,36.4,5
CUST00250,44,Female,Master,Low,Europe,Desktop,Gold,Referral,88,18889.2,47.3,6
CUST00251,31,Male,Associate,Medium-Low,Europe,Desktop,Silver,Social Media,1079,20592.92,31.4,5
CUST00252,37,Female,High School,High,North America,Desktop,Platinum,Organic Search,109,79679.84,83.1,14
CUST00253,34,Non-binary,Bachelor,Medium,Middle East,Mobile,Bronze,Direct,200,8174.13,39.2,3
CUST00254,47,Female,Associate,Medium,Europe,Mobile,Silver,Social Media,556,3646.73,92.8,5
CUST00255,38,Male,Bachelor,Medium,Latin America,Desktop,Bronze,Organic Search,1095,3062.15,77.8,2
CUST00256,39,Female,High School,Medium,Middle East,Mobile,Bronze,Paid Search,56,3123.0,79.4,2
CUST00257,33,Male,Master,Medium-High,Europe,Desktop,Silver,Organic Search,83,9261.15,80.4,6
CUST00258,33,Female,Master,Medium-High,North America,Mobile,Gold,Referral,399,42181.46,48.9,6
CUST00259,44,Male,Bachelor,Medium,North America,Mobile,Platinum,Organic Search,59,37401.69,98.8,8
CUST00260,29,Female,Associate,Medium-High,Latin America,Desktop,Gold,Organic Search,287,4370.55,52.5,7
CUST00261,29,Female,Master,Medium-Low,Asia-Pacific,Mobile,Bronze,Social Media,225,4585.55,38.3,2
CUST00262,38,Female,Bachelor,Medium,Europe,Desktop,Gold,Email,1095,12733.66,63.8,9
CUST00263,43,Female,Bachelor,Medium,Latin America,Mobile,Bronze,Organic Search,82,2154.72,68.9,1
