SessionID,CustomerID,CampaignID,VisitDateTime,VisitDate,Device,Browser,TrafficSource,SessionDuration,PagesViewed,Bounce,Converted,RevenueGenerated,IsWeekend,IsEngaged
SES000040,CUST03051,CAM001141,2025-11-16 05:36:00,2025-11-16,Tablet,Chrome,Social,82.74,1,1,0,0.0,1,0
SES000041,CUST02367,CAM001160,2026-07-04 22:34:00,2026-07-04,Mobile,Firefox,Direct,153.54,3,0,0,0.0,1,1
SES000042,CUST04079,CAM001632,2026-01-14 13:25:00,2026-01-14,Tablet,Chrome,Social,103.96,3,0,0,0.0,0,1
SES000043,CUST01138,CAM000670,2025-02-08 18:05:00,2025-02-08,Tablet,Safari,Paid,202.51,3,1,0,0.0,1,0
SES000044,CUST03816,CAM005674,2025-04-28 05:12:00,2025-04-28,Mobile,Firefox,Organic,319.25,5,0,0,0.0,0,1
SES000045,CUST02011,CAM005817,2025-12-12 13:42:00,2025-12-12,Desktop,Chrome,Social,187.53,3,0,0,0.0,0,1
SES000046,CUST02256,CAM009263,2026-02-09 13:35:00,2026-02-09,Mobile,Firefox,Direct,600.0,2,1,0,0.0,0,0
SES000047,CUST01732,CAM009207,2025-07-29 01:26:00,2025-07-29,Mobile,Chrome,Paid,110.9,3,1,0,0.0,0,0
SES000048,CUST00741,CAM009613,2025-12-08 07:48:00,2025-12-08,Mobile,Chrome,Paid,83.95,3,0,0,0.0,0,1
SES000049,CUST02490,CAM004767,2025-09-21 22:38:00,2025-09-21,Desktop,Chrome,Direct,439.05,7,0,0,0.0,1,1
SES000050,CUST04032,CAM007219,2025-03-29 13:31:00,2025-03-29,Desktop,Firefox,Paid,64.62,1,1,0,0.0,1,0
SES000051,CUST02918,CAM001796,2025-03-23 01:00:00,2025-03-23,Desktop,Chrome,Organic,414.8,6,0,0,0.0,1,1
SES000052,CUST02127,CAM008006,2025-04-25 16:13:00,2025-04-25,Desktop,Safari,Paid,268.84,6,1,0,0.0,0,0
SES000053,CUST00520,CAM007213,2025-12-08 20:26:00,2025-12-08,Desktop,Safari,Social,70.14,1,1,0,0.0,0,0
SES000054,CUST03014,CAM000828,2025-01-29 20:10:00,2025-01-29,Mobile,Chrome,Social,204.35,3,1,0,0.0,0,0
SES000055,CUST02982,CAM004921,2026-04-27 08:25:00,2026-04-27,Mobile,Chrome,Paid,392.55,1,1,0,0.0,0,0
SES000056,CUST01569,CAM001027,2025-01-17 09:56:00,2025-01-17,Mobile,Chrome,Paid,178.79,4,0,0,0.0,0,1
SES000057,CUST04629,CAM007065,2025-03-27 06:13:00,2025-03-27,Mobile,Safari,Organic,115.52,1,0,0,0.0,0,0
SES000058,CUST01826,CAM006503,2025-07-07 12:33:00,2025-07-07,Desktop,Chrome,Paid,446.37,8,0,0,0.0,0,1
SES000059,CUST01997,CAM002688,2025-12-25 19:04:00,2025-12-25,Mobile,Chrome,Organic,84.87,2,1,0,0.0,0,0
SES000060,CUST01288,CAM007987,2026-01-15 05:38:00,2026-01-15,Desktop,Firefox,Paid,138.29,3,0,0,0.0,0,1
SES000061,CUST03903,CAM001843,2026-06-01 04:53:00,2026-06-01,Tablet,Firefox,Referral,101.19,3,0,1,194.26,0,1
SES000062,CUST00447,CAM005782,2025-11-19 08:02:00,2025-11-19,Desktop,Firefox,Social,38.89,1,1,0,0.0,0,0
SES000063,CUST00370,CAM006836,2025-04-24 07:44:00,2025-04-24,Mobile,Safari,Direct,134.14,4,0,0,0.0,0,1
SES000064,CUST03090,CAM006806,2026-02-26 06:04:00,2026-02-26,Desktop,Firefox,Organic,249.55,2,0,0,0.0,0,0
SES000065,CUST04912,CAM006166,2025-01-17 07:30:00,2025-01-17,Mobile,Chrome,Direct,135.36,1,0,0,0.0,0,0
SES000066,CUST00866,CAM007897,2026-04-29 17:03:00,2026-04-29,Mobile,Safari,Organic,97.44,1,0,0,0.0,0,0
SES000067,CUST01616,CAM000221,2025-03-20 18:10:00,2025-03-20,Desktop,Chrome,Organic,111.35,1,0,0,0.0,0,0
SES000068,CUST00752,CAM009515,2025-01-21 14:15:00,2025-01-21,Desktop,Edge,Direct,413.55,5,0,0,0.0,0,1
SES000069,CUST00765,CAM000914,2025-01-27 13:49:00,2025-01-27,Desktop,Safari,Organic,193.94,3,1,0,0.0,0,0
SES000070,CUST02914,CAM000644,2025-04-27 01:23:00,2025-04-27,Mobile,Edge,Organic,104.57,6,0,0,0.0,1,1
SES000071,CUST01730,CAM002077,2025-08-30 00:01:00,2025-08-30,Mobile,Firefox,Organic,140.04,2,0,0,0.0,1,0
SES000072,CUST04487,CAM001234,2025-01-09 05:08:00,2025-01-09,Mobile,Chrome,Social,108.32,3,0,0,0.0,0,1
SES000073,CUST03661,CAM005227,2025-01-12 22:11:00,2025-01-12,Mobile,Firefox,Organic,324.91,4,0,0,0.0,1,1
SES000074,CUST00149,CAM000723,2025-12-19 06:11:00,2025-12-19,Tablet,Chrome,Direct,236.86,5,0,0,0.0,0,1
SES000075,CUST01417,CAM009922,2025-09-25 02:44:00,2025-09-25,Mobile,Firefox,Organic,186.35,3,0,1,75.85,0,1
SES000076,CUST02901,CAM005919,2025-03-25 01:38:00,2025-03-25,Mobile,Chrome,Referral,120.93,2,0,0,0.0,0,0
SES000077,CUST02158,CAM008286,2025-10-03 07:42:00,2025-10-03,Tablet,Chrome,Paid,47.1,1,0,0,0.0,0,0
SES000078,CUST00166,CAM005365,2025-11-30 01:08:00,2025-11-30,Tablet,Chrome,Organic,138.64,2,1,0,0.0,1,0
SES000079,CUST02581,CAM004512,2025-06-27 22:43:00,2025-06-27,Mobile,Chrome,Organic,188.07,2,0,0,0.0,0,0
SES000080,CUST00083,CAM003720,2025-05-25 07:46:00,2025-05-25,Desktop,Chrome,Referral,55.51,1,0,0,0.0,1,0
SES000081,CUST04890,CAM000483,2025-03-30 15:12:00,2025-03-30,Desktop,Safari,Social,90.07,2,0,0,0.0,1,0
SES000082,CUST00028,CAM005414,2025-03-06 11:57:00,2025-03-06,Mobile,Safari,Paid,109.47,1,1,0,0.0,0,0
SES000083,CUST04320,CAM003774,2026-03-26 05:27:00,2026-03-26,Mobile,Chrome,Paid,367.33,6,0,1,285.1,0,1
SES000084,CUST00292,CAM009278,2025-05-21 21:18:00,2025-05-21,Mobile,Chrome,Organic,166.59,3,0,0,0.0,0,1
SES000085,CUST00909,CAM006817,2025-06-08 06:55:00,2025-06-08,Desktop,Chrome,Referral,144.19,2,1,1,200.7,1,0
SES000086,CUST03228,CAM007943,2026-01-13 09:07:00,2026-01-13,Desktop,Safari,Organic,600.0,8,0,0,0.0,0,1
SES000087,CUST03185,CAM002040,2026-08-13 12:56:00,2026-08-13,Mobile,Edge,Organic,58.76,2,0,0,0.0,0,0
SES000088,CUST00387,CAM002715,2025-12-19 03:02:00,2025-12-19,Mobile,Chrome,Social,86.49,1,0,0,0.0,0,0
SES000089,CUST00949,CAM004534,2025-05-10 22:43:00,2025-05-10,Desktop,Safari,Social,316.93,3,1,0,0.0,1,0
SES000090,CUST03324,CAM003449,2026-05-30 15:29:00,2026-05-30,Mobile,Chrome,Organic,60.82,3,1,0,0.0,1,0
SES000091,CUST00175,CAM007099,2026-04-26 22:49:00,2026-04-26,Mobile,Chrome,Paid,119.68,4,0,0,0.0,1,1
SES000092,CUST02703,CAM003948,2026-03-05 02:29:00,2026-03-05,Desktop,Firefox,Direct,391.87,2,0,0,0.0,0,0
SES000093,CUST04312,CAM001309,2025-06-13 13:00:00,2025-06-13,Desktop,Safari,Organic,196.3,1,1,1,241.19,0,0
SES000094,CUST02535,CAM003091,2026-03-23 05:31:00,2026-03-23,Mobile,Safari,Social,140.72,2,0,1,103.98,0,0
SES000095,CUST00493,CAM002999,2025-03-21 15:59:00,2025-03-21,Desktop,Safari,Organic,123.21,1,0,0,0.0,0,0
SES000096,CUST01773,CAM006543,2025-06-04 21:13:00,2025-06-04,Mobile,Chrome,Referral,218.39,4,0,0,0.0,0,1
SES000097,CUST00208,CAM000648,2026-04-10 02:48:00,2026-04-10,Mobile,Chrome,Direct,281.7,2,0,0,0.0,0,0
SES000098,CUST04780,CAM008925,2025-01-17 23:08:00,2025-01-17,Tablet,Firefox,Organic,11.03,1,0,0,0.0,0,0
SES000099,CUST04451,CAM002243,2025-06-22 18:04:00,2025-06-22,Desktop,Chrome,Social,159.82,1,1,1,46.23,1,0
SES000100,CUST03305,CAM007765,2026-06-24 18:42:00,2026-06-24,Mobile,Chrome,Direct,56.76,1,0,0,0.0,0,0
SES000101,CUST00049,CAM006679,2026-01-17 03:13:00,2026-01-17,Mobile,Edge,Paid,223.62,1,1,0,0.0,1,0
SES000102,CUST00211,CAM001550,2025-09-30 07:17:00,2025-09-30,Mobile,Chrome,Paid,241.64,2,1,0,0.0,0,0
SES000103,CUST04235,CAM008613,2025-08-21 14:17:00,2025-08-21,Desktop,Chrome,Referral,325.51,1,1,0,0.0,0,0
SES000104,CUST03424,CAM001070,2026-03-12 17:30:00,2026-03-12,Mobile,Chrome,Paid,23.27,2,1,0,0.0,0,0
SES000105,CUST02797,CAM001595,2026-08-07 00:43:00,2026-08-07,Desktop,Edge,Organic,201.37,4,0,0,0.0,0,1
SES000106,CUST03728,CAM000351,2025-01-14 01:52:00,2025-01-14,Mobile,Chrome,Organic,136.54,5,0,0,0.0,0,1
SES000107,CUST02940,CAM000928,2026-05-31 13:02:00,2026-05-31,Mobile,Safari,Social,314.75,5,1,0,0.0,1,0
SES000108,CUST02203,CAM005137,2025-12-16 22:48:00,2025-12-16,Mobile,Chrome,Social,261.56,6,0,0,0.0,0,1
SES000109,CUST01673,CAM003604,2025-09-11 21:44:00,2025-09-11,Desktop,Firefox,Direct,471.78,8,0,0,0.0,0,1
SES000110,CUST00064,CAM004682,2026-02-12 11:41:00,2026-02-12,Mobile,Chrome,Organic,55.15,1,0,0,0.0,0,0
SES000111,CUST04536,CAM000628,2026-03-17 20:03:00,2026-03-17,Mobile,Safari,Organic,70.97,1,0,0,0.0,0,0
SES000112,CUST04905,CAM004900,2026-08-04 02:22:00,2026-08-04,Mobile,Safari,Paid,201.8,1,1,0,0.0,0,0
SES000113,CUST00568,CAM005195,2025-12-20 10:40:00,2025-12-20,Mobile,Safari,Organic,93.23,1,0,0,0.0,1,0
SES000114,CUST00551,CAM007885,2026-07-25 09:34:00,2026-07-25,Mobile,Safari,Organic,109.51,2,1,0,0.0,1,0
SES000115,CUST00130,CAM007738,2025-09-11 02:07:00,2025-09-11,Mobile,Chrome,Direct,28.64,1,1,0,0.0,0,0
SES000116,CUST03207,CAM003097,2025-08-26 07:17:00,2025-08-26,Mobile,Safari,Direct,73.72,3,1,0,0.0,0,0
SES000117,CUST03074,CAM004375,2026-06-28 08:11:00,2026-06-28,Desktop,Chrome,Referral,295.45,5,0,1,107.76,1,1
SES000118,CUST01478,CAM003340,2026-05-01 17:05:00,2026-05-01,Desktop,Chrome,Paid,53.14,1,0,0,0.0,0,0
SES000119,CUST01191,CAM001001,2026-06-30 08:50:00,2026-06-30,Mobile,Safari,Social,64.84,4,0,0,0.0,0,1
SES000120,CUST01129,CAM008553,2025-07-10 02:03:00,2025-07-10,Desktop,Chrome,Paid,200.8,5,0,0,0.0,0,1
SES000121,CUST01917,CAM002241,2026-07-01 18:29:00,2026-07-01,Desktop,Chrome,Organic,60.7,1,0,0,0.0,0,0
SES000122,CUST03106,CAM009820,2025-03-14 22:56:00,2025-03-14,Mobile,Firefox,Organic,250.26,1,1,0,0.0,0,0
SES000123,CUST03716,CAM002971,2025-03-09 07:01:00,2025-03-09,Desktop,Safari,Direct,34.12,1,0,1,175.87,1,0
SES000124,CUST02993,CAM008308,2025-07-20 08:03:00,2025-07-20,Desktop,Chrome,Referral,378.98,3,1,0,0.0,1,0
SES000125,CUST00651,CAM006768,2026-02-10 11:44:00,2026-02-10,Tablet,Chrome,Organic,126.64,3,1,0,0.0,0,0
SES000126,CUST02366,CAM004473,2026-02-28 13:34:00,2026-02-28,Mobile,Chrome,Social,169.43,1,0,0,0.0,1,0
SES000127,CUST01990,CAM002158,2026-01-17 08:08:00,2026-01-17,Desktop,Chrome,Direct,26.67,1,0,1,284.95,1,0
SES000128,CUST03652,CAM003877,2026-08-07 07:52:00,2026-08-07,Mobile,Safari,Organic,126.08,2,0,0,0.0,0,0
SES000129,CUST00452,CAM006633,2026-02-16 07:19:00,2026-02-16,Tablet,Chrome,Paid,51.49,3,0,0,0.0,0,0
SES000130,CUST04150,CAM005264,2025-12-22 07:01:00,2025-12-22,Mobile,Chrome,Organic,50.91,1,0,0,0.0,0,0
SES000131,CUST00377,CAM004015,2025-03-14 20:37:00,2025-03-14,Desktop,Chrome,Direct,99.62,3,0,0,0.0,0,1
SES000132,CUST02156,CAM001659,2025-07-15 04:55:00,2025-07-15,Desktop,Firefox,Paid,371.09,1,0,0,0.0,0,0
SES000133,CUST04213,CAM005276,2026-03-16 11:37:00,2026-03-16,Mobile,Safari,Organic,157.98,3,1,0,0.0,0,0
SES000134,CUST00575,CAM009009,2025-06-19 04:34:00,2025-06-19,Desktop,Safari,Direct,37.72,1,0,0,0.0,0,0
SES000135,CUST02204,CAM008334,2026-07-08 01:31:00,2026-07-08,Desktop,Chrome,Paid,62.31,1,0,0,0.0,0,0
SES000136,CUST01028,CAM008169,2026-05-24 16:34:00,2026-05-24,Desktop,Safari,Social,54.85,1,1,0,0.0,1,0
SES000137,CUST02669,CAM007231,2025-05-20 21:20:00,2025-05-20,Desktop,Chrome,Organic,128.55,2,0,0,0.0,0,0
SES000138,CUST02614,CAM004871,2025-08-04 22:14:00,2025-08-04,Desktop,Firefox,Paid,254.56,5,1,0,0.0,0,0
SES000139,CUST01557,CAM002379,2025-11-19 04:12:00,2025-11-19,Mobile,Safari,Direct,143.43,4,0,1,151.2,0,1
SES000140,CUST00027,CAM000693,2025-07-07 08:00:00,2025-07-07,Desktop,Safari,Organic,129.12,1,1,0,0.0,0,0
SES000141,CUST04778,CAM000723,2025-05-03 05:15:00,2025-05-03,Desktop,Chrome,Direct,155.11,1,0,0,0.0,1,0
SES000142,CUST01325,CAM001508,2025-08-19 20:38:00,2025-08-19,Mobile,Safari,Referral,273.51,3,0,0,0.0,0,1
SES000143,CUST03566,CAM002392,2025-02-22 23:14:00,2025-02-22,Desktop,Chrome,Organic,199.02,2,0,1,81.44,1,0
SES000144,CUST00226,CAM005072,2025-04-06 21:37:00,2025-04-06,Desktop,Safari,Paid,369.83,5,0,0,0.0,1,1
SES000145,CUST03372,CAM009370,2026-02-05 22:25:00,2026-02-05,Desktop,Firefox,Direct,273.15,2,1,0,0.0,0,0
SES000146,CUST03168,CAM004714,2025-10-20 09:16:00,2025-10-20,Mobile,Edge,Paid,152.18,1,0,1,114.73,0,0
SES000147,CUST01050,CAM008497,2025-11-25 05:10:00,2025-11-25,Desktop,Safari,Direct,448.46,4,0,0,0.0,0,1
SES000148,CUST04122,CAM006677,2025-02-23 09:52:00,2025-02-23,Mobile,Firefox,Organic,151.79,1,1,0,0.0,1,0
SES000149,CUST00046,CAM005941,2025-06-20 03:57:00,2025-06-20,Mobile,Safari,Paid,115.99,2,1,0,0.0,0,0
SES000150,CUST01462,CAM000176,2025-02-02 22:57:00,2025-02-02,Mobile,Safari,Social,156.12,6,0,0,0.0,1,1
SES000151,CUST02369,CAM006026,2025-05-04 22:43:00,2025-05-04,Mobile,Edge,Referral,203.3,3,1,0,0.0,1,0
SES000152,CUST00731,CAM005762,2026-04-01 07:03:00,2026-04-01,Mobile,Safari,Organic,55.44,1,0,0,0.0,0,0
SES000153,CUST01202,CAM005261,2026-07-27 20:45:00,2026-07-27,Mobile,Chrome,Direct,119.35,1,1,0,0.0,0,0
SES000154,CUST00980,CAM009609,2025-09-09 15:55:00,2025-09-09,Desktop,Edge,Social,226.99,1,0,0,0.0,0,0
SES000155,CUST04806,CAM009444,2025-09-02 15:01:00,2025-09-02,Tablet,Chrome,Direct,96.71,1,0,0,0.0,0,0
SES000156,CUST03928,CAM008353,2026-05-27 09:42:00,2026-05-27,Mobile,Firefox,Organic,183.5,2,0,1,1147.92,0,0
SES000157,CUST00443,CAM006352,2025-12-25 13:16:00,2025-12-25,Mobile,Safari,Paid,32.51,1,0,0,0.0,0,0
SES000158,CUST00874,CAM000360,2025-12-20 23:44:00,2025-12-20,Mobile,Safari,Social,138.44,1,0,0,0.0,1,0
SES000159,CUST04448,CAM008229,2025-04-19 07:40:00,2025-04-19,Mobile,Safari,Organic,286.33,3,0,1,311.84,1,1
SES000160,CUST02581,CAM008241,2026-03-09 22:52:00,2026-03-09,Mobile,Chrome,Organic,228.79,1,0,0,0.0,0,0
SES000161,CUST00006,CAM002281,2025-02-07 18:35:00,2025-02-07,Desktop,Firefox,Paid,68.72,2,0,0,0.0,0,0
SES000162,CUST00382,CAM006615,2025-07-21 01:08:00,2025-07-21,Mobile,Safari,Paid,345.05,5,0,0,0.0,0,1
SES000163,CUST00604,CAM008042,2026-01-13 06:56:00,2026-01-13,Mobile,Firefox,Organic,99.18,6,0,1,273.55,0,1
SES000164,CUST04200,CAM000250,2026-05-03 13:57:00,2026-05-03,Desktop,Firefox,Organic,312.65,4,0,1,192.02,1,1
SES000165,CUST01579,CAM006247,2025-01-22 18:56:00,2025-01-22,Desktop,Chrome,Social,205.08,1,0,1,26.45,0,0
SES000166,CUST03105,CAM003505,2025-04-07 04:56:00,2025-04-07,Desktop,Safari,Organic,233.07,2,1,0,0.0,0,0
SES000167,CUST03003,CAM007868,2026-02-08 23:17:00,2026-02-08,Tablet,Firefox,Organic,202.74,4,0,0,0.0,1,1
SES000168,CUST03702,CAM005131,2026-05-29 23:09:00,2026-05-29,Desktop,Chrome,Social,177.47,1,0,0,0.0,0,0
SES000169,CUST01872,CAM007049,2025-10-10 09:08:00,2025-10-10,Desktop,Safari,Paid,79.94,2,1,0,0.0,0,0
SES000170,CUST03499,CAM005860,2025-01-25 12:27:00,2025-01-25,Desktop,Chrome,Referral,222.13,4,0,0,0.0,1,1
SES000171,CUST04042,CAM000844,2026-01-02 14:03:00,2026-01-02,Mobile,Safari,Organic,298.28,3,1,0,0.0,0,0
SES000172,CUST00303,CAM002443,2025-03-02 17:02:00,2025-03-02,Mobile,Safari,Social,74.9,2,1,0,0.0,1,0
SES000173,CUST01454,CAM009876,2026-05-09 09:16:00,2026-05-09,Tablet,Safari,Paid,10.0,3,0,0,0.0,1,0
SES000174,CUST04683,CAM006495,2025-04-02 17:33:00,2025-04-02,Mobile,Safari,Social,406.43,2,1,0,0.0,0,0
SES000175,CUST03938,CAM005128,2025-01-21 17:06:00,2025-01-21,Desktop,Firefox,Paid,152.16,3,0,1,181.37,0,1
SES000176,CUST03937,CAM008097,2025-06-26 09:57:00,2025-06-26,Tablet,Firefox,Organic,173.34,3,0,0,0.0,0,1
SES000177,CUST03366,CAM001589,2026-07-12 19:46:00,2026-07-12,Mobile,Chrome,Social,379.06,5,0,1,356.86,1,1
SES000178,CUST01554,CAM002093,2025-09-04 14:53:00,2025-09-04,Mobile,Chrome,Social,431.92,9,1,0,0.0,0,0
SES000179,CUST04909,CAM004363,2025-01-17 06:12:00,2025-01-17,Mobile,Firefox,Organic,454.44,2,0,0,0.0,0,0
SES000180,CUST03616,CAM000102,2025-04-03 21:15:00,2025-04-03,Mobile,Chrome,Organic,268.37,3,0,0,0.0,0,1
SES000181,CUST02734,CAM008472,2025-02-18 12:17:00,2025-02-18,Mobile,Firefox,Paid,126.09,1,0,0,0.0,0,0
SES000182,CUST03282,CAM007238,2025-04-06 10:01:00,2025-04-06,Desktop,Chrome,Organic,102.44,1,0,0,0.0,1,0
SES000183,CUST00695,CAM005145,2026-04-30 18:43:00,2026-04-30,Desktop,Chrome,Organic,300.87,7,0,0,0.0,0,1
SES000184,CUST01065,CAM002388,2025-10-27 10:14:00,2025-10-27,Desktop,Safari,Organic,99.22,3,0,0,0.0,0,1
SES000185,CUST01392,CAM004593,2026-08-09 06:52:00,2026-08-09,Desktop,Safari,Direct,38.13,1,0,1,127.31,1,0
SES000186,CUST03332,CAM000391,2025-08-05 23:45:00,2025-08-05,Desktop,Chrome,Referral,246.87,3,1,0,0.0,0,0
SES000187,CUST04991,CAM008577,2025-12-17 14:15:00,2025-12-17,Mobile,Chrome,Paid,66.7,2,1,0,0.0,0,0
SES000188,CUST03094,CAM008369,2025-12-21 02:15:00,2025-12-21,Mobile,Chrome,Organic,212.14,3,0,0,0.0,1,1
SES000189,CUST02215,CAM004657,2026-07-16 03:53:00,2026-07-16,Desktop,Safari,Social,39.32,2,0,0,0.0,0,0
SES000190,CUST01375,CAM006489,2025-03-05 06:03:00,2025-03-05,Mobile,Chrome,Organic,135.39,1,0,1,144.59,0,0
SES000191,CUST04556,CAM006862,2025-06-05 23:25:00,2025-06-05,Mobile,Chrome,Social,41.08,2,1,1,82.65,0,0
SES000192,CUST04416,CAM008810,2026-06-03 15:44:00,2026-06-03,Tablet,Safari,Paid,140.01,1,1,0,0.0,0,0
SES000193,CUST00633,CAM007777,2026-01-15 06:52:00,2026-01-15,Tablet,Firefox,Direct,399.18,1,1,0,0.0,0,0
SES000194,CUST00733,CAM001666,2026-08-07 07:43:00,2026-08-07,Mobile,Safari,Paid,112.26,1,1,0,0.0,0,0
SES000195,CUST00731,CAM008094,2025-06-15 23:55:00,2025-06-15,Mobile,Chrome,Paid,154.87,2,1,0,0.0,1,0
SES000196,CUST01531,CAM004558,2026-03-15 09:52:00,2026-03-15,Mobile,Chrome,Social,21.42,2,0,0,0.0,1,0
SES000197,CUST02468,CAM007424,2026-03-04 05:18:00,2026-03-04,Desktop,Chrome,Direct,114.01,5,0,0,0.0,0,1
SES000198,CUST03708,CAM009330,2025-07-06 05:37:00,2025-07-06,Desktop,Chrome,Direct,344.15,6,0,0,0.0,1,1
SES000199,CUST04944,CAM003349,2025-05-07 08:30:00,2025-05-07,Mobile,Firefox,Organic,62.49,4,0,0,0.0,0,1
SES000200,CUST01454,CAM000403,2025-11-11 14:58:00,2025-11-11,Mobile,Safari,Social,60.47,3,0,0,0.0,0,1
SES000201,CUST01127,CAM006469,2025-05-23 08:51:00,2025-05-23,Mobile,Chrome,Organic,229.64,3,0,1,200.95,0,1
